EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-7380.052,5009.934,-1199.197,-5080.048,-8907.787,5079.873,-144.110,5085.514,-0.003,0.929,-0.284,0.000,0.000,0.000,73.333,1.000,1.000
-51792.721,34636.716,-12250.939,-37110.571,-37455.215,35073.384,-2714.195,35320.667,-0.006,0.936,-0.295,0.000,0.000,0.000,73.333,2.000,1.000
-173059.815,115515.490,-39801.416,-128555.906,-107331.226,117164.180,-13511.810,117875.026,-0.007,0.940,-0.301,0.000,0.000,0.000,73.333,3.000,1.000
-377166.744,248998.321,-78795.248,-287676.243,-204120.477,255725.372,-36412.624,256833.624,-0.008,0.944,-0.302,0.000,0.000,0.000,73.333,4.000,1.000
-619436.386,392538.823,-107815.523,-471808.201,-282837.074,417461.668,-64184.772,421796.744,-0.008,0.946,-0.304,-0.702,0.702,0.763,73.333,5.000,1.000
-833919.624,478086.475,-98912.161,-600573.531,-303321.880,541258.665,-74187.162,567867.960,-0.009,0.947,-0.308,-1.801,5.615,2.533,73.333,6.000,1.000
-965737.833,452085.577,-33136.772,-598606.344,-252564.810,557617.458,-32228.111,659318.906,-0.006,0.951,-0.311,1.587,4.333,-1.160,73.333,7.000,1.000
-977389.165,309333.278,86575.408,-440994.743,-146554.065,418547.997,86134.277,683394.397,-0.008,0.953,-0.313,2.563,4.242,-2.533,73.333,8.000,1.000
-840158.005,96754.281,234236.456,-172042.167,-24435.770,128114.464,268345.138,654729.991,-0.005,0.954,-0.314,2.563,4.395,-2.991,73.333,9.000,1.000
-548719.060,-119523.904,373887.448,118390.613,69238.533,-248000.556,465742.250,606529.463,-0.004,0.954,-0.315,2.533,4.761,-3.082,73.333,10.000,1.000
-151927.711,-299089.020,477409.821,344576.489,109925.360,-603174.695,622346.932,569096.789,-0.004,0.954,-0.314,2.411,5.127,-3.204,73.333,11.000,1.000
257168.883,-443591.962,534998.178,466083.582,104926.660,-835986.745,701891.318,549323.337,-0.004,0.956,-0.314,2.289,5.310,-3.235,73.333,12.000,1.000
587096.730,-575529.626,554337.301,496257.776,80732.933,-896409.915,697839.371,529480.916,-0.007,0.955,-0.317,2.045,5.646,-3.265,73.333,13.000,1.000
777893.899,-707543.538,551556.548,478525.516,59676.307,-801191.583,628687.933,487238.358,-0.005,0.956,-0.315,1.801,5.859,-3.143,73.333,14.000,1.000
810625.664,-825910.033,540599.654,452164.182,48239.803,-614776.565,524954.452,415734.781,-0.008,0.956,-0.314,1.526,6.226,-3.174,73.333,15.000,1.000
713799.123,-896347.179,528617.826,433784.785,43331.865,-415352.382,413754.823,325188.393,-0.010,0.955,-0.312,1.190,6.470,-3.143,73.333,16.000,1.000
555712.254,-890015.558,518529.683,423313.144,43060.658,-263770.462,309760.288,231469.859,-0.013,0.958,-0.313,1.007,6.531,-3.143,73.333,17.000,1.000
408610.275,-809172.653,512473.855,418990.373,48282.830,-184809.722,218795.075,147492.245,-0.015,0.959,-0.316,0.854,6.714,-3.204,73.333,18.000,1.000
307948.521,-686868.403,511419.207,422101.937,57005.444,-166583.973,146538.261,82281.315,-0.017,0.963,-0.316,0.580,6.958,-3.174,73.333,19.000,1.000
246460.849,-562200.374,513197.308,430873.225,62949.195,-177452.417,99327.821,41227.600,-0.021,0.965,-0.314,0.244,7.050,-3.143,73.333,20.000,1.000
204395.267,-458690.225,513562.916,437488.781,61634.039,-188897.824,76908.771,23449.638,-0.024,0.968,-0.315,-0.031,7.019,-3.204,73.333,21.000,1.000
176438.221,-383272.976,510093.266,435013.670,55582.065,-188701.319,69242.965,20572.006,-0.027,0.967,-0.313,-0.214,6.958,-3.235,73.333,22.000,1.000
167189.084,-335940.248,504268.005,425184.241,51258.195,-178413.212,63776.130,21325.343,-0.030,0.965,-0.313,-0.580,6.866,-3.204,73.333,23.000,1.000
171224.171,-313179.359,499205.987,416230.521,51657.847,-163322.431,55022.243,18648.253,-0.033,0.961,-0.310,-0.793,6.714,-3.204,73.333,24.000,1.000
170611.930,-304811.548,496049.728,413359.120,53899.325,-146679.842,45468.620,12264.152,-0.034,0.957,-0.311,-1.160,6.500,-3.204,73.333,25.000,1.000
153723.732,-295804.703,493356.383,413908.461,54027.439,-130814.509,38358.827,5061.489,-0.035,0.958,-0.309,-1.343,6.256,-3.265,73.333,26.000,1.000
128286.287,-276155.668,489636.460,412346.641,52032.475,-118945.823,32474.380,-1500.586,-0.036,0.958,-0.309,-1.495,5.981,-3.174,73.333,27.000,1.000
110578.910,-248066.404,485332.354,407560.927,50906.136,-113203.325,24684.446,-7992.500,-0.037,0.959,-0.309,-1.556,5.707,-3.052,73.333,28.000,1.000
105587.014,-221261.074,481866.613,403192.600,52040.057,-111801.692,15143.196,-14613.099,-0.039,0.962,-0.311,-1.740,5.402,-3.113,73.333,29.000,1.000
103563.953,-201889.600,479502.917,401877.699,53511.204,-110218.989,7419.914,-20104.033,-0.040,0.964,-0.313,-1.831,5.035,-3.113,73.333,30.000,1.000
94919.793,-187811.392,477018.494,401759.012,53016.226,-105599.870,3728.410,-23392.629,-0.041,0.967,-0.313,-1.892,4.730,-2.960,73.333,31.000,1.000
82045.038,-174018.690,473398.926,399410.027,50937.650,-99060.641,2073.047,-25232.402,-0.042,0.966,-0.310,-2.075,4.303,-2.869,73.333,32.000,1.000
73748.653,-159551.852,469105.624,394473.997,49549.747,-93389.824,-1039.517,-27415.031,-0.043,0.961,-0.307,-2.228,3.937,-2.686,73.333,33.000,1.000
72343.634,-147319.882,465336.982,389812.835,49945.062,-89515.327,-6311.470,-30719.747,-0.043,0.958,-0.309,-2.167,3.540,-2.563,73.333,34.000,1.000
71260.215,-138762.299,462477.600,387581.950,50914.051,-86084.822,-11363.075,-34324.427,-0.046,0.957,-0.310,-2.106,3.174,-2.411,73.333,35.000,1.000
64691.450,-131403.527,459781.573,386732.557,50836.291,-81925.734,-14237.180,-37158.839,-0.046,0.958,-0.310,-2.106,2.808,-2.228,73.333,36.000,1.000
54961.156,-122141.016,456478.469,384806.722,49693.348,-77642.401,-15754.794,-39179.705,-0.048,0.957,-0.306,-2.136,2.350,-2.197,73.333,37.000,1.000
48426.078,-111164.803,452701.612,381112.624,48726.889,-74467.576,-17991.464,-41076.152,-0.050,0.955,-0.306,-2.014,1.892,-2.045,73.333,38.000,1.000
46907.132,-101330.071,449145.332,377194.318,48672.626,-72408.301,-21454.648,-43199.633,-0.051,0.952,-0.305,-1.953,1.343,-1.953,73.333,39.000,1.000
46230.144,-94370.149,446116.541,374556.918,49022.570,-70288.741,-24727.487,-45256.519,-0.054,0.948,-0.306,-1.862,0.793,-1.801,73.333,40.000,1.000
42452.291,-89076.119,443245.312,372907.876,48933.056,-67353.034,-26589.146,-46909.775,-0.056,0.949,-0.305,-1.740,0.366,-1.709,73.333,41.000,1.000
36559.326,-83263.446,440059.179,370871.278,48270.492,-64099.609,-27519.283,-48236.692,-0.057,0.948,-0.304,-1.587,-0.275,-1.617,73.333,42.000,1.000
32135.321,-76428.633,436552.597,367794.024,47552.328,-61416.247,-28834.578,-49504.640,-0.057,0.944,-0.303,-1.282,-0.824,-1.465,73.333,43.000,1.000
30409.962,-69844.683,433092.486,364327.541,47203.540,-59432.481,-30972.253,-50798.670,-0.059,0.944,-0.304,-1.038,-1.373,-1.434,73.333,44.000,1.000
29355.483,-64612.804,429929.984,361432.524,47172.124,-57570.624,-33173.679,-52045.966,-0.062,0.940,-0.306,-0.732,-1.953,-1.251,73.333,45.000,1.000
26917.921,-60425.230,426959.221,359286.401,47144.732,-55432.078,-34639.549,-53221.075,-0.061,0.942,-0.306,-0.427,-2.472,-1.190,73.333,46.000,1.000
23379.280,-56231.108,423911.054,357263.466,46882.692,-53199.015,-35454.089,-54323.214,-0.061,0.944,-0.310,-0.183,-3.052,-1.038,73.333,47.000,1.000
20298.774,-51524.475,420658.472,354722.641,46365.416,-51202.866,-36274.268,-55254.687,-0.060,0.945,-0.310,0.061,-3.754,-0.977,73.333,48.000,1.000
18381.184,-46704.599,417308.657,351643.857,45791.956,-49467.429,-37475.419,-55938.564,-0.060,0.945,-0.307,0.244,-4.242,-0.854,73.333,49.000,1.000
17094.920,-42449.172,414062.124,348570.705,45451.899,-47807.816,-38848.361,-56528.483,-0.057,0.946,-0.308,0.458,-4.730,-0.702,73.333,50.000,1.000
15712.108,-39010.206,411012.554,346026.051,45435.106,-46139.929,-39982.767,-57282.411,-0.055,0.944,-0.308,0.610,-5.096,-0.488,73.333,51.000,1.000
13948.430,-36039.670,408057.127,343964.890,45447.721,-44498.101,-40713.385,-58180.293,-0.057,0.941,-0.308,0.854,-5.585,-0.397,73.333,52.000,1.000
11852.169,-32935.638,404996.027,341798.622,45089.943,-42876.528,-41206.966,-58876.959,-0.057,0.941,-0.307,1.099,-5.951,-0.275,73.333,53.000,1.000
9744.295,-29406.862,401749.082,339035.077,44384.232,-41254.898,-41765.227,-59168.221,-0.055,0.940,-0.306,1.251,-6.287,-0.214,73.333,54.000,1.000
8202.054,-25801.619,398467.782,335887.112,43838.026,-39729.141,-42560.983,-59336.563,-0.056,0.938,-0.310,1.465,-6.714,0.031,73.333,55.000,1.000
7492.937,-22788.044,395377.569,333083.330,43817.428,-38418.023,-43469.386,-59811.412,-0.054,0.936,-0.310,1.892,-7.080,0.031,73.333,56.000,1.000
6963.288,-20569.729,392496.094,330984.007,44007.137,-37226.973,-44156.611,-60557.116,-0.054,0.936,-0.308,2.136,-7.385,0.153,73.333,57.000,1.000
5594.857,-18532.905,389582.897,329023.160,43764.469,-35898.322,-44438.170,-61076.437,-0.052,0.935,-0.312,2.350,-7.629,0.244,73.333,58.000,1.000
3407.525,-15918.868,386430.914,326188.550,42987.359,-34376.749,-44550.957,-61091.727,-0.052,0.935,-0.312,2.594,-7.874,0.336,73.333,59.000,1.000
1712.665,-12812.746,383149.492,322017.876,42309.314,-32953.276,-44929.399,-60965.011,-0.053,0.935,-0.320,2.808,-8.057,0.458,73.333,60.000,1.000
1458.217,-10123.101,380045.102,316908.821,42271.735,-31888.973,-45657.267,-61225.906,-0.052,0.935,-0.317,3.082,-8.301,0.427,73.333,61.000,1.000
1768.489,-8420.433,377219.825,311343.065,42561.981,-31008.568,-46300.543,-61831.341,-0.052,0.937,-0.319,3.296,-8.453,0.427,73.333,62.000,1.000
931.524,-7113.780,374417.950,305125.965,42400.612,-29892.753,-46437.740,-62204.683,-0.051,0.935,-0.322,3.357,-8.514,0.397,73.333,63.000,1.000
-1248.406,-5159.490,371354.001,297820.162,41601.923,-28463.942,-46247.919,-62032.440,-0.051,0.935,-0.322,3.662,-8.514,0.458,73.333,64.000,1.000
-3017.022,-2457.798,368080.465,289809.555,40833.563,-27134.836,-46328.426,-61715.577,-0.052,0.937,-0.322,3.876,-8.636,0.549,73.333,65.000,1.000
-2997.335,-42.217,364840.234,282364.071,40632.112,-26254.732,-46909.209,-61828.846,-0.051,0.937,-0.324,4.028,-8.698,0.702,73.333,66.000,1.000
-2169.563,1287.195,361573.744,276370.369,40494.260,-25602.468,-47511.397,-62326.286,-0.051,0.935,-0.326,4.150,-8.728,1.007,73.333,67.000,1.000
-2638.155,2076.872,357798.591,271316.953,39356.932,-24664.785,-47566.975,-62601.132,-0.049,0.936,-0.329,4.272,-8.820,1.129,73.333,68.000,1.000
-4738.572,3524.287,353093.279,265944.519,36882.484,-23345.627,-47198.484,-62323.161,-0.046,0.936,-0.329,4.456,-8.789,1.312,73.333,69.000,1.000
-6496.852,5865.820,347600.923,259801.527,33849.670,-22113.553,-47079.894,-61892.507,-0.044,0.936,-0.328,4.517,-8.698,1.434,73.333,70.000,1.000
-6304.373,8043.190,341931.168,253704.354,31174.654,-21356.927,-47529.118,-61883.633,-0.042,0.939,-0.331,4.639,-8.484,1.678,73.333,71.000,1.000
-5161.805,9137.006,336576.246,248538.154,28898.464,-20834.890,-48062.517,-62255.567,-0.041,0.939,-0.333,4.669,-8.423,1.984,73.333,72.000,1.000
-5343.199,9625.674,331538.953,244041.320,26435.325,-20000.673,-48043.045,-62420.076,-0.040,0.940,-0.332,4.761,-8.301,2.289,73.333,73.000,1.000
-7274.241,10741.537,326572.163,239199.140,23621.900,-18758.123,-47551.972,-62059.327,-0.038,0.942,-0.334,4.730,-8.026,2.594,73.333,74.000,1.000
-8938.546,12796.297,321640.412,233662.636,21060.211,-17598.163,-47286.236,-61555.409,-0.038,0.942,-0.333,4.669,-7.751,3.021,73.333,75.000,1.000
-8650.496,14764.119,316974.002,228231.912,19297.131,-16921.553,-47612.010,-61452.657,-0.037,0.946,-0.332,4.639,-7.477,3.265,73.333,76.000,1.000
-7368.219,15686.977,312690.088,223757.756,18024.140,-16486.996,-48068.329,-61713.468,-0.036,0.948,-0.332,4.578,-7.263,3.632,73.333,77.000,1.000
-7361.132,15971.689,308556.636,219982.417,16439.257,-15748.308,-48000.602,-61789.915,-0.037,0.948,-0.333,4.425,-6.775,4.120,73.333,78.000,1.000
-9094.440,16816.982,304256.480,215895.293,14287.961,-14606.771,-47452.607,-61386.349,-0.035,0.950,-0.333,4.333,-6.531,4.486,73.333,79.000,1.000
-10627.119,18581.511,299795.922,211091.798,12165.449,-13536.871,-47097.761,-60850.898,-0.038,0.948,-0.333,4.242,-6.226,4.761,73.333,80.000,1.000
-10305.546,20326.858,295492.681,206280.721,10688.240,-12924.628,-47316.739,-60679.331,-0.038,0.946,-0.334,4.059,-5.951,5.249,73.333,81.000,1.000
-9005.023,21124.600,291554.406,202287.498,9679.473,-12542.580,-47690.502,-60840.608,-0.039,0.945,-0.332,3.998,-5.768,5.432,73.333,82.000,1.000
-8873.088,21309.364,287815.894,198944.251,8452.959,-11876.730,-47588.024,-60844.973,-0.038,0.942,-0.332,3.906,-5.463,5.737,73.333,83.000,1.000
-10382.004,21987.492,283978.148,195356.196,6760.687,-10833.971,-47024.336,-60426.819,-0.036,0.940,-0.330,3.876,-5.280,6.073,73.333,84.000,1.000
-11748.676,23523.885,280009.398,191126.512,5099.275,-9852.915,-46619.895,-59889.916,-0.037,0.938,-0.332,3.784,-5.127,6.348,73.333,85.000,1.000
-11428.186,25082.872,276165.954,186856.762,3997.650,-9288.434,-46744.853,-59668.120,-0.035,0.939,-0.335,3.723,-4.944,6.653,73.333,86.000,1.000
-10188.781,25799.707,272625.260,183289.552,3297.384,-8933.668,-47031.700,-59736.159,-0.035,0.939,-0.335,3.754,-4.700,6.958,73.333,87.000,1.000
-9978.312,25939.138,269244.054,180307.038,2393.792,-8323.516,-46899.954,-59671.875,-0.034,0.939,-0.337,3.754,-4.517,7.233,73.333,88.000,1.000
