EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-26.365,-48.404,-853.250,-25.214,-7.183,29.163,-5.318,-1.193,-0.001,0.903,-0.427,-1.953,-1.404,0.977,73.333,33553.000,1.000
-32.008,-48.733,-860.873,-30.279,-7.918,25.808,-6.294,-3.447,0.000,0.903,-0.425,-2.411,-1.343,1.038,73.333,33554.000,1.000
-38.783,-51.548,-872.018,-36.194,-9.102,20.740,-8.976,-5.866,0.001,0.900,-0.427,-2.747,-1.312,0.946,73.333,33555.000,1.000
-44.737,-55.905,-884.280,-40.711,-10.067,15.770,-12.129,-8.660,0.004,0.893,-0.428,-3.082,-1.251,0.885,73.333,33556.000,1.000
-49.159,-61.610,-896.549,-43.150,-10.509,11.911,-15.176,-12.515,0.004,0.890,-0.425,-3.387,-1.221,0.763,73.333,33557.000,1.000
-52.590,-68.885,-909.288,-44.451,-10.575,9.313,-18.123,-17.662,0.004,0.893,-0.423,-3.540,-1.038,0.610,73.333,33558.000,1.000
-55.388,-76.719,-922.687,-45.465,-10.535,7.888,-20.662,-23.013,0.004,0.897,-0.422,-3.632,-0.946,0.397,73.333,33559.000,1.000
-57.442,-82.852,-936.079,-46.524,-10.610,7.302,-22.115,-26.937,0.005,0.900,-0.421,-3.784,-0.854,0.366,73.333,33560.000,1.000
-58.708,-85.554,-948.962,-47.693,-10.993,6.718,-22.186,-28.569,0.004,0.901,-0.421,-4.150,-0.732,0.214,73.333,33561.000,1.000
-58.936,-84.607,-960.635,-48.259,-11.656,5.581,-20.978,-27.769,0.004,0.900,-0.424,-4.425,-0.671,0.214,73.333,33562.000,1.000
-57.451,-80.905,-970.256,-47.092,-12.179,4.530,-18.453,-24.635,0.005,0.898,-0.421,-4.761,-0.641,0.000,73.333,33563.000,1.000
-53.575,-75.727,-977.093,-43.167,-11.964,4.904,-14.499,-19.571,0.005,0.898,-0.417,-5.066,-0.549,0.000,73.333,33564.000,1.000
-47.924,-70.709,-981.678,-36.878,-10.811,7.077,-9.730,-14.084,0.005,0.896,-0.415,-5.341,-0.488,-0.092,73.333,33565.000,1.000
-42.579,-67.663,-986.191,-30.219,-9.217,9.752,-5.750,-10.531,0.006,0.896,-0.415,-5.615,-0.366,-0.275,73.333,33566.000,1.000
