EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4500.461,517.655,-11754.487,-9259.752,-26761.236,6655.467,-89.547,-256.696,-0.045,0.974,0.199,0.000,0.000,0.000,80.000,1.000,1.000
36492.767,2154.687,-19534.515,-57638.986,-23222.760,38588.993,-12003.516,-731.208,-0.051,0.983,0.189,0.000,0.000,0.000,80.000,2.000,1.000
123821.855,2604.401,-43641.022,-189824.406,-13648.676,123788.130,-41770.521,2661.892,-0.053,0.982,0.188,0.000,0.000,0.000,80.000,3.000,1.000
270799.031,3472.641,-88419.152,-406338.905,2435.033,258142.349,-83894.533,23660.644,-0.052,0.985,0.187,0.000,0.000,0.000,80.000,4.000,1.000
445254.856,24333.898,-142082.183,-629645.375,21522.492,394710.534,-116901.938,78052.189,-0.053,0.987,0.189,0.000,0.000,0.000,80.000,5.000,1.000
599700.659,94711.629,-176772.345,-736158.674,38427.645,478169.126,-115572.192,163678.606,-0.052,0.989,0.188,-3.815,2.838,-3.906,80.000,6.000,1.000
696373.603,223789.259,-163527.182,-637328.025,49020.533,486166.775,-62723.832,256027.986,-0.051,0.991,0.186,-4.456,-1.221,-2.625,80.000,7.000,1.000
721819.027,386953.084,-91500.388,-344175.168,51831.684,441142.094,43921.271,330074.825,-0.053,0.990,0.189,-3.326,-3.571,-1.190,80.000,8.000,1.000
691526.785,540942.155,24360.163,37632.575,48561.259,390907.227,186580.793,380828.376,-0.053,0.990,0.189,-2.899,-4.547,-0.458,80.000,9.000,1.000
640591.095,646345.353,151638.442,370168.279,43048.216,378411.675,331072.487,420954.147,-0.053,0.992,0.189,-2.563,-5.066,-0.244,80.000,10.000,1.000
600999.433,684243.602,258078.963,558138.217,38897.563,420022.514,446582.874,465397.439,-0.054,0.991,0.186,-2.441,-5.310,-0.061,80.000,11.000,1.000
