EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
7.032,17.492,15.785,13.193,10.404,3.990,6.311,5.769,-0.002,0.977,-0.117,0.336,-0.732,0.427,66.667,738721.000,1.000
9.408,18.218,16.010,12.989,10.521,5.627,5.971,5.642,-0.004,0.980,-0.118,0.336,-0.732,0.488,66.667,738722.000,1.000
12.651,19.728,17.367,13.207,11.499,8.293,5.937,5.621,-0.006,0.984,-0.115,0.305,-0.763,0.580,66.667,738723.000,1.000
15.747,21.177,18.873,13.516,12.818,11.328,6.847,5.971,-0.007,0.983,-0.115,0.427,-0.916,0.549,66.667,738724.000,1.000
17.484,21.277,19.263,13.455,13.577,13.410,7.973,6.474,-0.005,0.984,-0.109,0.275,-0.977,0.549,66.667,738725.000,1.000
17.189,19.246,17.921,12.814,13.250,13.392,8.135,6.857,-0.006,0.982,-0.111,0.244,-0.977,0.580,66.667,738726.000,1.000
15.107,15.449,15.300,11.777,12.076,11.245,7.095,7.204,-0.005,0.981,-0.112,0.183,-0.977,0.671,66.667,738727.000,1.000
12.191,11.181,12.437,10.658,10.741,8.172,5.905,7.814,-0.005,0.983,-0.115,0.153,-1.068,0.793,66.667,738728.000,1.000
9.503,7.708,10.075,9.503,9.690,5.609,5.906,8.693,-0.006,0.982,-0.115,0.153,-1.190,0.854,66.667,738729.000,1.000
7.542,5.321,8.146,7.944,8.693,4.069,7.434,9.321,-0.007,0.982,-0.114,0.122,-1.221,0.916,66.667,738730.000,1.000
6.028,3.316,6.025,5.533,7.128,3.056,9.500,9.054,-0.006,0.982,-0.114,0.061,-1.312,0.854,66.667,738731.000,1.000
4.332,0.818,3.173,2.241,4.654,1.923,10.519,7.626,-0.006,0.982,-0.113,-0.031,-1.434,0.916,66.667,738732.000,1.000
2.103,-2.348,-0.340,-1.374,1.590,0.574,9.282,5.201,-0.006,0.984,-0.115,-0.061,-1.465,1.007,66.667,738733.000,1.000
-0.382,-5.395,-3.713,-4.379,-1.169,-0.468,5.855,2.349,-0.004,0.982,-0.114,-0.153,-1.556,1.038,66.667,738734.000,1.000
-2.386,-7.038,-5.862,-5.923,-2.628,-0.485,1.775,0.045,-0.006,0.983,-0.113,-0.092,-1.617,1.038,66.667,738735.000,1.000
-3.250,-6.382,-6.145,-5.717,-2.299,0.893,-0.863,-0.809,-0.007,0.979,-0.114,-0.061,-1.648,1.099,66.667,738736.000,1.000
-2.974,-3.629,-4.880,-4.272,-0.634,3.227,-0.760,-0.038,-0.008,0.981,-0.114,-0.214,-1.678,1.190,66.667,738737.000,1.000
-2.368,-0.156,-3.269,-2.717,1.038,5.202,1.612,1.614,-0.005,0.981,-0.115,-0.153,-1.740,1.129,66.667,738738.000,1.000
-2.508,2.218,-2.717,-2.219,1.194,5.365,4.232,2.889,-0.005,0.982,-0.114,-0.183,-1.740,1.129,66.667,738739.000,1.000
-3.947,2.325,-3.978,-3.337,-0.924,3.181,4.902,2.713,-0.003,0.982,-0.115,-0.214,-1.831,1.190,66.667,738740.000,1.000
-6.420,0.173,-6.790,-5.754,-4.802,-0.641,2.692,0.802,-0.003,0.981,-0.115,-0.244,-1.831,1.251,66.667,738741.000,1.000
-9.080,-3.207,-10.060,-8.479,-8.940,-4.554,-1.411,-2.119,-0.001,0.980,-0.114,-0.183,-1.831,1.312,66.667,738742.000,1.000
