EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-104.440,-11.193,-14.806,-11.712,-12.243,-9.519,-6.470,-7.689,-0.009,0.866,-0.437,-0.763,-1.953,0.793,80.000,75289.000,1.000
-105.231,-9.582,-13.707,-12.255,-10.013,-6.804,-3.003,-4.598,-0.009,0.865,-0.439,-0.702,-1.892,0.854,80.000,75290.000,1.000
-104.203,-8.156,-12.123,-12.524,-7.503,-3.078,1.812,-1.449,-0.008,0.868,-0.438,-0.671,-1.862,0.824,80.000,75291.000,1.000
-100.676,-7.473,-10.752,-12.914,-5.749,-0.194,5.855,0.357,-0.007,0.868,-0.436,-0.671,-1.862,0.885,80.000,75292.000,1.000
-94.007,-7.496,-9.784,-13.526,-5.275,0.411,7.438,0.054,-0.009,0.867,-0.438,-0.671,-1.801,0.793,80.000,75293.000,1.000
-84.107,-7.622,-9.034,-14.210,-5.767,-1.193,6.265,-2.033,-0.006,0.868,-0.440,-0.763,-1.740,0.885,80.000,75294.000,1.000
-72.050,-7.041,-8.078,-14.606,-6.193,-3.362,3.667,-4.431,-0.005,0.868,-0.438,-0.732,-1.770,0.946,80.000,75295.000,1.000
-59.693,-5.296,-6.331,-14.202,-5.471,-4.072,1.772,-5.392,-0.006,0.867,-0.439,-0.580,-1.709,0.916,80.000,75296.000,1.000
-48.993,-2.744,-3.889,-12.717,-3.348,-2.554,1.680,-4.303,-0.006,0.866,-0.440,-0.641,-1.617,0.916,80.000,75297.000,1.000
-41.646,-0.368,-1.301,-10.248,-0.505,0.328,3.033,-1.816,-0.004,0.865,-0.442,-0.610,-1.526,0.854,80.000,75298.000,1.000
-38.301,0.876,0.702,-7.174,2.097,3.050,4.712,1.015,-0.005,0.865,-0.440,-0.610,-1.404,0.916,80.000,75299.000,1.000
-37.503,0.534,1.595,-4.018,3.723,4.453,5.572,3.159,-0.004,0.866,-0.439,-0.549,-1.312,0.916,80.000,75300.000,1.000
-36.394,-1.250,1.475,-1.370,3.997,4.221,4.952,3.727,-0.006,0.867,-0.439,-0.610,-1.343,0.946,80.000,75301.000,1.000
-33.214,-3.895,0.632,0.228,2.963,2.750,2.844,2.428,-0.005,0.868,-0.441,-0.458,-1.282,0.854,80.000,75302.000,1.000
-28.610,-6.554,-0.307,0.688,1.161,0.750,0.008,0.030,-0.005,0.869,-0.439,-0.519,-1.160,0.763,80.000,75303.000,1.000
-24.459,-8.372,-0.747,0.490,-0.561,-1.072,-2.568,-1.992,-0.007,0.867,-0.440,-0.549,-1.007,0.732,80.000,75304.000,1.000
-22.139,-8.861,-0.508,0.302,-1.504,-2.216,-4.197,-2.311,-0.004,0.868,-0.440,-0.580,-0.916,0.763,80.000,75305.000,1.000
-22.262,-8.176,0.219,0.446,-1.598,-2.625,-4.676,-0.600,-0.005,0.867,-0.438,-0.458,-0.824,0.763,80.000,75306.000,1.000
-25.359,-7.052,0.684,0.618,-1.514,-2.912,-4.636,2.006,-0.004,0.867,-0.438,-0.519,-0.824,0.793,80.000,75307.000,1.000
-31.914,-6.300,0.334,0.263,-2.085,-4.012,-4.936,3.704,-0.004,0.865,-0.441,-0.580,-0.732,0.793,80.000,75308.000,1.000
-41.576,-6.199,-0.800,-0.809,-3.423,-6.130,-5.585,3.557,-0.003,0.866,-0.441,-0.671,-0.671,0.793,80.000,75309.000,1.000
-52.372,-6.270,-2.014,-2.112,-4.649,-8.218,-5.416,2.304,-0.004,0.867,-0.439,-0.610,-0.610,0.702,80.000,75310.000,1.000
-60.932,-5.771,-2.349,-2.966,-4.729,-8.783,-3.284,1.423,-0.005,0.867,-0.440,-0.580,-0.580,0.702,80.000,75311.000,1.000
-64.123,-4.458,-1.772,-3.348,-3.542,-7.113,0.326,1.351,-0.006,0.867,-0.438,-0.549,-0.519,0.671,80.000,75312.000,1.000
-61.036,-2.853,-0.992,-3.908,-2.024,-3.937,3.547,1.154,-0.007,0.866,-0.437,-0.488,-0.580,0.610,80.000,75313.000,1.000
-53.835,-1.752,-0.942,-5.284,-1.276,-0.958,4.685,-0.127,-0.008,0.865,-0.438,-0.549,-0.549,0.519,80.000,75314.000,1.000
-46.488,-1.379,-1.976,-7.360,-1.462,0.657,3.859,-2.054,-0.008,0.864,-0.435,-0.580,-0.397,0.580,80.000,75315.000,1.000
-42.282,-1.182,-3.449,-9.337,-1.758,1.195,2.905,-3.178,-0.006,0.865,-0.439,-0.519,-0.366,0.519,80.000,75316.000,1.000
-42.209,-0.579,-4.715,-10.597,-1.444,1.570,3.245,-2.857,-0.008,0.866,-0.440,-0.488,-0.397,0.488,80.000,75317.000,1.000
-45.240,0.368,-5.396,-11.092,-0.686,2.082,4.701,-1.943,-0.009,0.865,-0.440,-0.427,-0.366,0.458,80.000,75318.000,1.000
