EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3178.981,5095.764,3375.846,-366.517,5138.888,5059.018,5087.228,5058.852,0.068,0.840,-0.402,0.000,0.000,0.000,80.000,1.000,1.000
-16284.470,35738.424,21541.790,-4676.888,36031.567,35439.449,35628.800,35452.329,0.077,0.863,-0.426,0.000,0.000,0.000,80.000,2.000,1.000
-41231.002,119265.154,64231.789,-24022.964,120238.830,118249.932,118884.233,118300.095,0.080,0.866,-0.432,0.000,0.000,0.000,80.000,3.000,1.000
-58177.680,258814.241,122319.924,-75378.338,260924.627,256601.595,257996.291,256719.919,0.078,0.868,-0.434,0.000,0.000,0.000,80.000,4.000,1.000
-40351.635,420970.869,173218.548,-172341.071,424401.929,417365.486,419676.458,417573.704,0.077,0.870,-0.439,0.000,0.000,0.000,80.000,5.000,1.000
13291.285,556605.413,205166.554,-307618.286,561141.280,551833.677,554951.695,552129.795,0.079,0.870,-0.439,-3.754,4.913,1.221,80.000,6.000,1.000
73502.454,626786.271,229178.469,-429226.210,631894.403,621410.180,624980.642,621762.291,0.080,0.867,-0.442,3.174,0.397,2.441,80.000,7.000,1.000
105263.084,618505.842,266735.619,-447672.465,623547.537,613200.394,616755.081,613557.096,0.078,0.866,-0.445,5.737,-0.763,2.563,80.000,8.000,1.000
80306.780,549538.517,329077.551,-297426.469,553357.504,544825.901,547983.312,545141.974,0.079,0.866,-0.449,6.714,-1.282,2.258,80.000,9.000,1.000
-19582.270,456998.348,407793.751,5711.351,456361.032,453349.666,455705.367,453576.865,0.078,0.866,-0.449,7.111,-1.465,1.862,80.000,10.000,1.000
-182563.286,370658.209,478720.518,369920.387,360285.263,369315.315,369704.515,369314.494,0.079,0.866,-0.445,7.141,-1.556,1.556,80.000,11.000,1.000
-359320.184,292772.852,513951.175,677863.753,269175.261,296144.793,292345.204,295644.806,0.081,0.868,-0.445,7.080,-1.617,1.282,80.000,12.000,1.000
-492257.549,205837.546,498838.436,842431.154,171016.348,216127.591,206156.833,214871.234,0.083,0.868,-0.445,6.989,-1.617,1.038,80.000,13.000,1.000
-546607.706,97951.894,443406.504,844559.033,58937.608,115203.976,99056.345,113156.692,0.084,0.866,-0.445,6.866,-1.556,0.885,80.000,14.000,1.000
-516425.602,-22325.559,375561.098,734417.688,-56759.266,-776.729,-20652.993,-3348.262,0.085,0.869,-0.446,6.744,-1.587,0.763,80.000,15.000,1.000
-416778.505,-132811.082,319721.589,591655.174,-155779.533,-111316.487,-130896.651,-113926.698,0.086,0.868,-0.444,6.561,-1.556,0.641,80.000,16.000,1.000
-276332.216,-214864.984,280235.261,472637.823,-224087.404,-197677.785,-212987.281,-199812.067,0.088,0.867,-0.443,6.439,-1.495,0.519,80.000,17.000,1.000
-130404.436,-263955.932,243798.479,386628.195,-262252.539,-253497.924,-262297.898,-254823.850,0.088,0.866,-0.442,6.165,-1.282,0.519,80.000,18.000,1.000
-10650.551,-287104.473,195848.438,314285.178,-280057.743,-283165.275,-285755.590,-283653.810,0.087,0.869,-0.442,6.195,-1.312,0.488,80.000,19.000,1.000
66332.135,-294012.215,133420.392,240598.375,-286353.859,-294404.683,-292971.985,-294283.499,0.088,0.868,-0.446,6.073,-1.221,0.458,80.000,20.000,1.000
103454.043,-291736.929,63697.149,168066.443,-285265.087,-293906.222,-290943.044,-293481.796,0.088,0.867,-0.451,5.920,-1.190,0.305,80.000,21.000,1.000
116063.549,-285188.142,-4774.752,105865.993,-279463.391,-287525.269,-284570.431,-287022.189,0.089,0.866,-0.448,5.798,-1.068,0.214,80.000,22.000,1.000
119248.995,-278576.059,-65624.645,56693.472,-272886.413,-280609.942,-278083.122,-280134.637,0.090,0.866,-0.448,5.890,-0.977,0.214,80.000,23.000,1.000
120464.247,-274311.602,-112669.651,17356.137,-268606.828,-276101.150,-273892.462,-275691.806,0.087,0.864,-0.448,5.768,-0.977,0.061,80.000,24.000,1.000
121532.560,-271476.543,-140966.839,-13268.549,-265815.622,-273112.096,-271071.367,-272776.812,0.087,0.864,-0.450,5.646,-0.946,0.092,80.000,25.000,1.000
123763.394,-267146.223,-152157.514,-33003.333,-261089.105,-268761.468,-266721.718,-268475.178,0.086,0.865,-0.450,5.615,-0.977,-0.061,80.000,26.000,1.000
128855.284,-259701.939,-155856.883,-42847.376,-252723.167,-261611.079,-259285.769,-261316.821,0.087,0.866,-0.448,5.554,-0.854,-0.092,80.000,27.000,1.000
136182.593,-250360.956,-162692.680,-50084.391,-242646.061,-252883.920,-250016.317,-252530.330,0.087,0.866,-0.449,5.524,-0.854,-0.153,80.000,28.000,1.000
142220.269,-241421.033,-175971.510,-62322.039,-233822.626,-244548.887,-241183.244,-244132.396,0.088,0.867,-0.449,5.280,-0.824,-0.092,80.000,29.000,1.000
143982.359,-233727.737,-191279.014,-80026.236,-226864.103,-237094.978,-233579.720,-236657.284,0.088,0.866,-0.450,5.157,-0.854,-0.153,80.000,30.000,1.000
142142.942,-226348.009,-203479.505,-97244.400,-220005.537,-229593.559,-226259.037,-229175.768,0.087,0.863,-0.451,5.127,-0.732,-0.061,80.000,31.000,1.000
139846.411,-218291.080,-212119.385,-109212.095,-211846.796,-221379.469,-218259.220,-220985.092,0.086,0.864,-0.452,5.096,-0.671,-0.122,80.000,32.000,1.000
138995.784,-209779.015,-219752.729,-117098.375,-203013.271,-212919.020,-209819.890,-212523.293,0.085,0.863,-0.451,4.883,-0.702,0.000,80.000,33.000,1.000
138742.691,-201686.523,-227231.190,-124914.985,-194949.150,-205005.351,-201792.378,-204591.249,0.085,0.860,-0.449,4.791,-0.702,0.000,80.000,34.000,1.000
137476.528,-194275.072,-232721.841,-133891.866,-187920.480,-197674.696,-194409.521,-197250.280,0.086,0.859,-0.449,4.669,-0.610,0.092,80.000,35.000,1.000
135115.382,-186930.421,-234925.796,-141687.698,-180860.922,-190258.481,-187068.297,-189841.265,0.085,0.858,-0.449,4.669,-0.671,0.092,80.000,36.000,1.000
132830.558,-179021.179,-235316.212,-146381.272,-172900.870,-182277.309,-179175.739,-181872.023,0.084,0.860,-0.451,4.578,-0.610,0.214,80.000,37.000,1.000
131191.822,-170640.428,-236373.267,-149206.872,-164393.894,-173945.030,-170838.942,-173542.436,0.082,0.858,-0.451,4.456,-0.641,0.336,80.000,38.000,1.000
129501.745,-162406.266,-238596.982,-152722.259,-156310.211,-165809.448,-162649.117,-165403.105,0.081,0.857,-0.453,4.425,-0.641,0.275,80.000,39.000,1.000
126933.874,-154740.854,-240310.977,-157505.156,-149045.690,-158144.313,-154999.950,-157740.942,0.080,0.857,-0.454,4.303,-0.641,0.214,80.000,40.000,1.000
123609.866,-147498.962,-240079.276,-161791.088,-142130.292,-150778.734,-147753.259,-150389.381,0.080,0.857,-0.455,4.242,-0.702,0.153,80.000,41.000,1.000
120238.467,-140231.607,-238308.200,-163993.042,-134936.630,-143379.626,-140487.885,-143004.727,0.079,0.857,-0.454,4.333,-0.793,0.092,80.000,42.000,1.000
117113.005,-132685.355,-236298.239,-164513.772,-127370.995,-135789.975,-132957.693,-135417.983,0.080,0.856,-0.454,4.272,-0.916,0.031,80.000,43.000,1.000
113901.523,-125031.498,-234521.768,-164867.205,-119846.051,-128145.959,-125312.676,-127766.812,0.081,0.857,-0.456,4.150,-0.946,-0.122,80.000,44.000,1.000
110274.488,-117660.148,-232395.328,-165767.585,-112769.393,-120738.461,-117927.122,-120354.814,0.081,0.857,-0.455,4.211,-1.007,-0.153,80.000,45.000,1.000
106319.018,-110763.519,-229370.701,-166620.849,-106154.912,-113728.774,-111007.675,-113351.909,0.082,0.858,-0.452,4.150,-1.038,-0.244,80.000,46.000,1.000
102289.032,-104121.561,-225615.387,-166576.095,-99664.194,-106958.108,-104359.245,-106594.965,0.082,0.857,-0.456,3.998,-1.160,-0.397,80.000,47.000,1.000
98282.676,-97341.544,-221611.346,-165517.538,-92970.182,-100095.807,-97590.046,-99742.821,0.081,0.856,-0.452,3.937,-1.129,-0.519,80.000,48.000,1.000
94318.021,-90331.252,-217558.323,-163995.319,-86107.792,-93040.338,-90585.239,-92689.983,0.080,0.857,-0.454,3.784,-1.068,-0.580,80.000,49.000,1.000
90481.514,-83452.259,-213356.089,-162552.095,-79466.392,-86100.129,-83693.040,-85751.368,0.080,0.857,-0.457,3.815,-1.251,-0.824,80.000,50.000,1.000
86789.439,-77104.732,-208877.426,-161269.156,-73371.117,-79648.991,-77326.540,-79309.493,0.079,0.857,-0.458,3.571,-1.221,-1.038,80.000,51.000,1.000
83044.700,-71210.184,-204032.801,-159788.698,-67674.657,-73631.441,-71425.998,-73309.704,0.079,0.857,-0.459,3.601,-1.312,-1.038,80.000,52.000,1.000
79060.452,-65274.129,-198749.864,-157664.117,-61885.664,-67588.708,-65495.000,-67285.512,0.079,0.857,-0.460,3.418,-1.221,-1.160,80.000,53.000,1.000
74971.793,-59013.513,-193129.374,-154811.773,-55768.717,-61246.822,-59232.207,-60955.565,0.080,0.856,-0.459,3.326,-1.343,-1.221,80.000,54.000,1.000
71088.349,-52753.299,-187510.170,-151692.412,-49686.643,-54911.493,-52954.480,-54626.554,0.080,0.856,-0.458,3.418,-1.343,-1.404,80.000,55.000,1.000
67412.688,-47029.147,-182118.178,-148895.031,-44177.497,-49095.534,-47209.636,-48818.752,0.079,0.855,-0.456,3.296,-1.312,-1.465,80.000,56.000,1.000
63556.290,-41878.043,-176692.312,-146434.683,-39246.988,-43830.865,-42048.817,-43568.794,0.079,0.857,-0.458,3.265,-1.373,-1.556,80.000,57.000,1.000
59279.813,-36767.414,-170749.216,-143644.209,-34320.091,-38600.767,-36936.615,-38355.946,0.080,0.856,-0.459,3.143,-1.343,-1.648,80.000,58.000,1.000
54914.942,-31295.213,-164281.821,-139980.232,-28982.505,-33025.261,-31456.939,-32791.931,0.080,0.857,-0.460,2.991,-1.312,-1.587,80.000,59.000,1.000
50984.234,-25738.490,-157896.787,-135806.256,-23553.374,-27387.645,-25881.963,-27157.592,0.081,0.858,-0.459,2.838,-1.221,-1.617,80.000,60.000,1.000
47477.071,-20694.553,-152051.538,-132032.114,-18687.130,-22266.763,-20819.215,-22038.737,0.081,0.859,-0.461,2.686,-1.160,-1.770,80.000,61.000,1.000
43820.543,-16277.672,-146387.933,-128939.631,-14496.119,-17752.504,-16393.152,-17533.665,0.080,0.859,-0.465,2.686,-1.160,-1.709,80.000,62.000,1.000
39656.245,-11957.762,-140172.896,-125750.769,-10378.887,-13314.809,-12070.181,-13112.182,0.077,0.855,-0.463,2.502,-1.068,-1.740,80.000,63.000,1.000
35365.755,-7272.547,-133333.212,-121632.916,-5819.247,-8519.788,-7377.477,-8332.483,0.078,0.854,-0.462,2.411,-1.160,-1.801,80.000,64.000,1.000
31583.176,-2452.922,-126634.956,-116861.947,-1089.828,-3620.991,-2543.869,-3442.834,0.080,0.852,-0.463,2.380,-1.099,-1.831,80.000,65.000,1.000
28342.304,1890.736,-120672.700,-112522.297,3108.164,786.368,1812.856,958.034,0.079,0.851,-0.464,2.380,-1.068,-1.923,80.000,66.000,1.000
25052.394,5596.362,-115034.848,-109065.941,6595.416,4577.400,5526.582,4738.627,0.077,0.851,-0.462,2.380,-0.977,-2.075,80.000,67.000,1.000
21351.490,9166.334,-108847.026,-105677.501,9962.279,8265.029,9105.036,8411.333,0.077,0.851,-0.464,2.411,-0.885,-2.167,80.000,68.000,1.000
17632.345,13083.342,-101990.910,-101365.785,13770.254,12299.048,13036.826,12431.796,0.076,0.851,-0.463,2.411,-0.763,-2.197,80.000,69.000,1.000
14481.657,17162.762,-95305.039,-96331.453,17793.598,16460.360,17134.520,16584.835,0.078,0.850,-0.461,2.289,-0.763,-2.197,80.000,70.000,1.000
11816.824,20816.588,-89453.219,-91726.520,21333.115,20171.565,20802.461,20289.846,0.078,0.850,-0.459,2.319,-0.732,-2.197,80.000,71.000,1.000
8952.723,23854.657,-84013.380,-88102.340,24168.087,23285.105,23848.555,23393.793,0.079,0.850,-0.463,2.289,-0.671,-2.228,80.000,72.000,1.000
5530.961,26730.169,-78061.041,-84662.906,26847.272,26271.015,26731.814,26366.798,0.080,0.852,-0.465,2.289,-0.458,-2.228,80.000,73.000,1.000
2023.549,29913.457,-71452.055,-80357.313,29934.614,29566.207,29927.131,29651.141,0.079,0.854,-0.462,2.197,-0.458,-2.350,80.000,74.000,1.000
-892.527,33262.862,-65029.997,-75320.530,33250.818,32989.181,33289.334,33068.165,0.081,0.853,-0.462,2.136,-0.397,-2.319,80.000,75.000,1.000
-3229.487,36238.986,-59471.032,-70689.701,36136.800,36008.315,36273.064,36082.451,0.081,0.855,-0.462,2.075,-0.214,-2.350,80.000,76.000,1.000
-5633.110,38644.616,-54366.627,-67056.401,38356.958,38472.170,38682.221,38537.368,0.082,0.856,-0.460,1.953,-0.061,-2.350,80.000,77.000,1.000
-8479.546,40877.207,-48803.862,-63679.801,40405.117,40800.749,40921.808,40853.665,0.081,0.856,-0.462,1.801,-0.031,-2.289,80.000,78.000,1.000
-11379.076,43375.278,-42626.335,-59521.385,42819.908,43402.029,43434.269,43445.245,0.081,0.858,-0.461,1.709,0.092,-2.136,80.000,79.000,1.000
-13747.155,46034.700,-36636.715,-54661.852,45464.859,46130.190,46110.320,46169.317,0.082,0.857,-0.460,1.617,0.214,-2.106,80.000,80.000,1.000
-15624.308,48376.398,-31486.676,-50169.129,47741.287,48509.642,48463.546,48546.004,0.083,0.856,-0.461,1.556,0.366,-1.984,80.000,81.000,1.000
-17614.972,50204.894,-26802.379,-46635.911,49410.198,50387.537,50298.030,50416.186,0.085,0.856,-0.462,1.404,0.519,-1.892,80.000,82.000,1.000
-20055.108,51854.686,-21729.348,-43403.300,50895.863,52120.908,51953.558,52136.651,0.081,0.855,-0.461,1.312,0.671,-1.770,80.000,83.000,1.000
-22564.903,53719.019,-16110.123,-39496.873,52689.856,54074.980,53826.138,54078.411,0.082,0.854,-0.461,1.312,0.854,-1.709,80.000,84.000,1.000
-24580.076,55728.464,-10673.924,-34951.972,54696.567,56141.144,55843.547,56137.066,0.082,0.853,-0.463,1.221,1.160,-1.587,80.000,85.000,1.000
-26107.942,57474.666,-6018.962,-30728.218,56396.175,57914.416,57594.519,57905.380,0.082,0.854,-0.459,1.190,1.343,-1.556,80.000,86.000,1.000
-27683.445,58775.018,-1815.158,-27386.708,57562.614,59252.618,58898.106,59236.243,0.081,0.853,-0.461,1.099,1.587,-1.526,80.000,87.000,1.000
-29628.061,59901.550,2705.059,-24361.704,58548.676,60449.677,60029.814,60422.852,0.080,0.854,-0.460,1.160,1.678,-1.434,80.000,88.000,1.000
-31644.122,61193.311,7690.527,-20776.414,59784.965,61819.159,61328.622,61783.197,0.079,0.855,-0.460,1.221,1.923,-1.282,80.000,89.000,1.000
-33262.175,62607.381,12501.093,-16633.224,61207.374,63281.427,62748.338,63241.241,0.078,0.853,-0.462,1.221,2.075,-1.282,80.000,90.000,1.000
-34481.804,63806.185,16607.046,-12765.430,62377.761,64501.171,63950.587,64459.505,0.076,0.854,-0.461,1.190,2.075,-1.312,80.000,91.000,1.000
