EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.036,2.631,0.392,-0.154,12.763,1.328,4.876,0.676,-0.075,0.985,-0.089,-0.305,-0.397,1.068,73.333,599065.000,1.000
2.358,1.413,-0.639,-1.774,13.095,-1.360,-0.580,-2.261,-0.077,0.987,-0.087,-0.305,-0.366,1.038,73.333,599066.000,1.000
1.835,0.570,-0.934,-2.925,14.550,-2.870,-3.661,-4.108,-0.076,0.986,-0.088,-0.122,-0.366,0.977,73.333,599067.000,1.000
1.790,0.527,-0.024,-2.586,17.944,-2.274,-2.707,-2.953,-0.078,0.987,-0.089,-0.183,-0.275,0.977,73.333,599068.000,1.000
2.045,0.876,1.446,-0.950,22.172,-0.552,1.055,0.980,-0.080,0.988,-0.089,-0.183,-0.427,0.946,73.333,599069.000,1.000
2.004,0.764,2.331,0.620,24.810,0.950,4.768,4.793,-0.079,0.986,-0.090,-0.092,-0.458,0.916,73.333,599070.000,1.000
1.234,-0.210,1.946,0.794,24.092,1.904,6.133,5.180,-0.080,0.988,-0.088,-0.153,-0.519,0.916,73.333,599071.000,1.000
-0.089,-1.662,0.442,-0.598,20.343,2.555,4.697,1.556,-0.080,0.988,-0.087,-0.244,-0.488,0.824,73.333,599072.000,1.000
-1.370,-2.871,-1.744,-2.671,15.437,2.777,1.450,-3.577,-0.082,0.990,-0.085,-0.336,-0.458,0.854,73.333,599073.000,1.000
-1.998,-3.217,-3.984,-4.212,11.445,2.442,-1.908,-6.774,-0.081,0.991,-0.087,-0.366,-0.610,0.916,73.333,599074.000,1.000
-1.475,-2.197,-4.914,-4.111,10.046,2.379,-3.232,-5.650,-0.082,0.992,-0.087,-0.488,-0.702,0.885,73.333,599075.000,1.000
0.471,0.524,-2.965,-1.747,12.237,4.018,-0.884,-0.006,-0.079,0.993,-0.087,-0.549,-0.732,0.824,73.333,599076.000,1.000
3.625,4.738,2.132,2.496,17.726,7.834,4.625,7.786,-0.077,0.993,-0.088,-0.580,-0.763,0.916,73.333,599077.000,1.000
7.222,9.475,8.543,7.144,24.863,12.459,10.366,13.825,-0.078,0.992,-0.085,-0.671,-0.793,0.946,73.333,599078.000,1.000
10.291,13.331,13.559,10.404,31.497,15.233,12.713,14.953,-0.079,0.992,-0.086,-0.793,-0.885,0.946,73.333,599079.000,1.000
12.139,15.120,15.677,11.265,35.931,13.684,9.515,10.528,-0.080,0.991,-0.084,-0.916,-0.916,0.977,73.333,599080.000,1.000
12.695,14.561,15.339,10.083,37.759,7.434,1.705,2.830,-0.079,0.990,-0.083,-0.946,-1.007,0.977,73.333,599081.000,1.000
12.508,12.464,14.164,8.195,38.159,-0.966,-6.818,-4.167,-0.076,0.991,-0.085,-0.946,-1.038,1.038,73.333,599082.000,1.000
12.277,10.057,13.363,6.798,38.946,-7.595,-11.868,-7.389,-0.078,0.990,-0.084,-1.007,-1.129,1.068,73.333,599083.000,1.000
12.389,8.201,13.108,6.230,41.093,-9.701,-11.664,-6.426,-0.077,0.991,-0.085,-1.099,-1.129,1.007,73.333,599084.000,1.000
12.821,7.078,13.141,6.084,43.945,-7.284,-7.526,-3.158,-0.078,0.990,-0.084,-1.099,-1.160,1.007,73.333,599085.000,1.000
13.329,6.270,13.211,5.674,45.666,-3.027,-2.927,-0.343,-0.077,0.990,-0.085,-1.190,-1.221,1.038,73.333,599086.000,1.000
13.755,5.285,13.249,4.678,44.800,-0.360,-1.165,0.053,-0.078,0.990,-0.084,-1.129,-1.343,1.068,73.333,599087.000,1.000
14.083,4.034,13.152,3.486,41.492,-1.086,-3.385,-1.997,-0.078,0.990,-0.085,-1.160,-1.404,1.007,73.333,599088.000,1.000
14.224,2.771,12.659,2.761,37.183,-4.738,-8.541,-5.094,-0.078,0.988,-0.086,-1.160,-1.404,0.946,73.333,599089.000,1.000
14.009,1.785,11.673,2.821,33.581,-9.373,-14.338,-7.731,-0.078,0.986,-0.081,-1.099,-1.465,0.916,73.333,599090.000,1.000
13.357,1.220,10.428,3.559,31.991,-12.522,-17.925,-8.833,-0.077,0.987,-0.082,-1.129,-1.526,0.977,73.333,599091.000,1.000
12.280,0.999,9.369,4.664,32.911,-12.423,-16.804,-7.873,-0.080,0.990,-0.083,-1.068,-1.556,0.916,73.333,599092.000,1.000
10.852,0.894,8.647,5.675,35.806,-9.123,-10.695,-5.363,-0.079,0.989,-0.083,-1.129,-1.495,0.916,73.333,599093.000,1.000
9.207,0.628,7.919,6.057,39.368,-4.419,-2.680,-2.862,-0.077,0.992,-0.084,-1.190,-1.587,0.854,73.333,599094.000,1.000
7.463,-0.111,6.689,5.452,42.103,-0.822,2.488,-1.833,-0.075,0.993,-0.081,-1.129,-1.526,0.885,73.333,599095.000,1.000
5.580,-1.512,4.655,3.855,42.722,-0.056,2.007,-2.478,-0.075,0.992,-0.080,-1.160,-1.495,0.916,73.333,599096.000,1.000
3.463,-3.315,2.134,1.691,40.579,-1.722,-2.503,-3.509,-0.076,0.992,-0.080,-1.251,-1.373,0.946,73.333,599097.000,1.000
1.279,-4.761,0.016,-0.194,36.443,-3.469,-6.133,-2.848,-0.075,0.990,-0.082,-1.282,-1.404,0.885,73.333,599098.000,1.000
-0.486,-5.020,-0.856,-0.895,32.454,-2.892,-4.618,0.783,-0.074,0.992,-0.079,-1.282,-1.526,0.885,73.333,599099.000,1.000
-1.463,-3.840,-0.494,-0.221,30.620,0.634,2.314,6.285,-0.072,0.991,-0.082,-1.190,-1.434,0.916,73.333,599100.000,1.000
-1.742,-1.705,0.040,1.036,31.589,5.959,11.304,10.700,-0.070,0.992,-0.081,-1.190,-1.404,0.824,73.333,599101.000,1.000
-1.664,0.593,-0.100,1.855,34.690,11.380,18.390,11.599,-0.072,0.992,-0.082,-1.221,-1.221,0.885,73.333,599102.000,1.000
-1.540,2.228,-0.704,1.733,38.122,14.965,20.673,8.523,-0.070,0.991,-0.081,-1.282,-1.190,0.824,73.333,599103.000,1.000
-1.668,2.429,-1.270,0.739,39.418,14.670,16.971,2.839,-0.071,0.989,-0.082,-1.190,-1.129,1.007,73.333,599104.000,1.000
-2.361,0.906,-2.049,-0.801,37.132,9.816,8.903,-3.084,-0.071,0.989,-0.082,-1.129,-0.977,0.885,73.333,599105.000,1.000
-3.749,-1.805,-3.908,-2.615,32.157,1.996,-0.103,-7.266,-0.071,0.989,-0.082,-1.190,-0.977,0.885,73.333,599106.000,1.000
-5.538,-4.669,-6.946,-4.464,26.951,-6.184,-7.529,-9.195,-0.072,0.990,-0.083,-1.129,-0.793,0.977,73.333,599107.000,1.000
-7.094,-6.788,-9.975,-6.024,23.669,-12.651,-12.759,-9.641,-0.072,0.989,-0.083,-1.038,-0.732,0.824,73.333,599108.000,1.000
-7.894,-7.706,-11.609,-6.980,22.947,-16.214,-15.892,-9.649,-0.072,0.987,-0.082,-0.946,-0.763,0.946,73.333,599109.000,1.000
-7.813,-7.293,-11.471,-7.169,23.879,-16.347,-16.740,-9.741,-0.072,0.987,-0.079,-0.916,-0.702,0.916,73.333,599110.000,1.000
-7.100,-5.734,-10.329,-6.692,24.827,-13.330,-15.226,-9.985,-0.073,0.988,-0.081,-0.763,-0.610,0.854,73.333,599111.000,1.000
-6.205,-3.590,-8.970,-5.761,24.658,-8.266,-11.564,-10.113,-0.073,0.989,-0.079,-0.610,-0.519,0.946,73.333,599112.000,1.000
-5.512,-1.493,-7.338,-4.358,23.503,-2.391,-5.710,-9.235,-0.074,0.989,-0.078,-0.702,-0.427,0.946,73.333,599113.000,1.000
-5.143,0.234,-4.953,-2.279,22.181,3.393,2.153,-6.183,-0.074,0.990,-0.084,-0.580,-0.427,0.885,73.333,599114.000,1.000
-5.053,1.502,-1.974,0.369,21.340,8.225,10.257,-0.714,-0.075,0.990,-0.081,-0.427,-0.488,0.824,73.333,599115.000,1.000
-5.335,2.110,0.327,2.791,21.305,10.912,15.399,5.570,-0.075,0.989,-0.083,-0.488,-0.488,0.854,73.333,599116.000,1.000
-6.393,1.602,0.503,3.720,22.054,10.168,15.030,9.625,-0.077,0.990,-0.082,-0.427,-0.427,0.885,73.333,599117.000,1.000
-8.550,-0.435,-1.848,2.264,23.448,5.806,9.290,8.939,-0.077,0.990,-0.083,-0.336,-0.488,0.977,73.333,599118.000,1.000
-11.345,-3.761,-5.643,-1.121,26.017,-0.211,1.381,3.814,-0.077,0.990,-0.082,-0.214,-0.549,0.916,73.333,599119.000,1.000
-13.510,-7.376,-9.095,-4.711,30.892,-4.811,-4.474,-2.597,-0.078,0.990,-0.079,-0.305,-0.610,0.885,73.333,599120.000,1.000
-13.843,-10.103,-11.031,-6.774,38.438,-5.922,-5.667,-6.779,-0.075,0.992,-0.082,-0.336,-0.610,0.916,73.333,599121.000,1.000
-11.983,-11.128,-11.075,-6.587,47.475,-3.180,-1.853,-6.987,-0.076,0.991,-0.080,-0.214,-0.671,0.854,73.333,599122.000,1.000
-8.508,-10.225,-9.266,-4.528,55.982,2.450,5.550,-3.547,-0.077,0.991,-0.079,-0.244,-0.671,0.854,73.333,599123.000,1.000
-4.576,-7.823,-6.114,-1.719,62.308,9.107,13.849,1.662,-0.077,0.990,-0.082,-0.214,-0.702,0.885,73.333,599124.000,1.000
-1.470,-4.985,-2.797,0.442,65.656,14.350,19.667,5.909,-0.079,0.991,-0.081,-0.244,-0.854,0.824,73.333,599125.000,1.000
-0.163,-3.119,-0.854,0.879,65.845,15.512,20.087,6.986,-0.078,0.990,-0.082,-0.153,-0.854,0.854,73.333,599126.000,1.000
-0.882,-3.145,-1.029,-0.551,63.401,11.348,14.917,4.743,-0.077,0.990,-0.084,-0.275,-0.854,0.854,73.333,599127.000,1.000
-2.981,-4.791,-2.722,-3.051,59.783,3.763,7.476,0.898,-0.076,0.989,-0.083,-0.275,-0.946,0.854,73.333,599128.000,1.000
-5.386,-7.001,-4.688,-5.539,56.717,-3.723,1.654,-2.573,-0.074,0.989,-0.079,-0.214,-1.038,0.885,73.333,599129.000,1.000
-7.203,-8.897,-6.026,-7.283,55.147,-9.077,-1.282,-4.636,-0.075,0.990,-0.082,-0.366,-0.977,0.763,73.333,599130.000,1.000
-7.952,-10.007,-6.513,-8.012,55.106,-11.849,-2.221,-5.350,-0.076,0.988,-0.084,-0.336,-1.007,0.824,73.333,599131.000,1.000
