EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6245.295,-25438.883,-9825.666,-3615.369,-3736.054,4421.072,-599.632,-6997.536,-0.077,0.899,-0.323,0.000,0.000,0.000,73.333,1.000,1.000
35738.926,-66880.395,-35521.778,-32428.492,-27804.580,27629.259,976.036,-51091.339,-0.083,0.901,-0.333,0.000,0.000,0.000,73.333,2.000,1.000
116503.680,-188435.813,-107778.225,-118901.262,-95367.806,95413.329,23631.058,-171472.809,-0.084,0.898,-0.339,0.000,0.000,0.000,73.333,3.000,1.000
252882.386,-405890.086,-234419.839,-282093.557,-208266.336,217977.904,96635.784,-374075.882,-0.084,0.894,-0.342,0.000,0.000,0.000,73.333,4.000,1.000
415321.745,-668409.023,-393596.234,-504849.265,-331204.199,374423.037,222288.730,-614548.745,-0.084,0.893,-0.343,-0.824,0.549,-0.092,73.333,5.000,1.000
559677.478,-877673.725,-543830.906,-735775.667,-411627.748,524146.045,352474.076,-827034.579,-0.083,0.893,-0.346,1.282,-0.214,-6.226,73.333,6.000,1.000
650559.697,-946735.015,-637693.217,-900730.943,-412223.235,628778.946,414873.587,-956479.446,-0.083,0.894,-0.346,7.568,-3.754,-9.735,73.333,7.000,1.000
675116.355,-849162.810,-638652.950,-926623.167,-330475.459,666775.589,355798.207,-975397.300,-0.083,0.894,-0.348,10.071,-4.761,-11.139,73.333,8.000,1.000
646532.595,-626194.951,-541807.151,-781711.671,-197973.711,639039.441,159023.022,-891578.827,-0.083,0.895,-0.349,11.353,-5.066,-11.871,73.333,9.000,1.000
592552.571,-357225.203,-379433.137,-502363.979,-62994.247,565592.550,-146883.421,-743535.530,-0.083,0.894,-0.352,11.841,-5.127,-12.177,73.333,10.000,1.000
534235.779,-118842.440,-202341.166,-176517.704,33864.659,472705.183,-482940.078,-578767.505,-0.087,0.894,-0.353,12.512,-4.974,-12.543,73.333,11.000,1.000
473858.291,47684.321,-53677.292,104295.656,78530.239,378505.659,-746888.989,-429377.165,-0.089,0.894,-0.356,12.909,-4.883,-12.817,73.333,12.000,1.000
402361.853,147574.338,44911.235,285971.404,84408.795,289216.089,-868235.267,-306450.673,-0.092,0.893,-0.358,13.336,-4.822,-13.031,73.333,13.000,1.000
316220.560,214189.638,92159.542,362860.530,74806.332,206901.135,-839862.024,-212324.381,-0.093,0.893,-0.358,13.763,-4.700,-13.306,73.333,14.000,1.000
