EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5137.505,1633.260,-1122.071,-8789.797,4993.595,4950.113,-1939.378,1431.938,-0.165,0.898,-0.219,0.000,0.000,0.000,73.333,1.000,1.000
34823.984,9425.872,-9103.455,-61927.119,34373.001,34774.871,-14210.874,9054.763,-0.176,0.905,-0.235,0.000,0.000,0.000,73.333,2.000,1.000
112189.705,25591.929,-33199.938,-207014.235,114586.679,117179.864,-48965.069,27282.766,-0.179,0.908,-0.239,0.000,0.000,0.000,73.333,3.000,1.000
234436.797,48255.140,-76037.592,-443894.867,249482.822,256528.258,-108796.808,57069.539,-0.181,0.910,-0.241,0.000,0.000,0.000,73.333,4.000,1.000
369842.068,84004.244,-122486.510,-686180.576,409163.070,416548.603,-177476.273,100383.184,-0.183,0.910,-0.244,0.000,0.000,0.000,73.333,5.000,1.000
484918.653,150829.340,-143986.120,-800972.183,549838.022,536647.241,-225455.929,159010.223,-0.182,0.907,-0.244,-9.338,5.157,-1.373,73.333,6.000,1.000
561448.993,258218.838,-116978.889,-699931.593,637340.936,568945.118,-224149.434,227845.963,-0.183,0.907,-0.246,-7.568,2.930,0.427,73.333,7.000,1.000
596400.369,392385.744,-38100.767,-401864.905,660103.796,516205.820,-158484.121,301637.222,-0.184,0.908,-0.246,-5.157,1.556,1.038,73.333,8.000,1.000
600533.630,523399.009,74265.668,-19498.586,632695.173,434646.022,-30020.307,382168.726,-0.185,0.906,-0.246,-3.937,0.977,1.312,73.333,9.000,1.000
593440.122,620940.967,189930.374,306453.867,587150.802,390902.599,144631.321,468204.536,-0.187,0.906,-0.246,-3.235,0.793,1.251,73.333,10.000,1.000
589514.236,666708.653,282858.509,482349.430,553306.555,417349.196,334324.106,547662.130,-0.187,0.908,-0.247,-2.777,0.763,1.129,73.333,11.000,1.000
585932.080,660634.006,343843.534,505731.251,541944.355,499298.200,501544.421,603642.912,-0.186,0.907,-0.248,-2.380,0.732,1.068,73.333,12.000,1.000
566677.688,617466.905,380225.840,448773.756,544963.954,589881.598,618466.339,621024.695,-0.187,0.907,-0.246,-2.014,0.732,0.916,73.333,13.000,1.000
519360.324,554939.431,404498.054,394843.749,549856.141,640393.864,675603.106,590502.724,-0.188,0.908,-0.247,-1.617,0.824,0.885,73.333,14.000,1.000
446271.978,483332.250,423260.934,381687.361,551785.473,628507.335,678242.707,514432.086,-0.186,0.908,-0.251,-1.373,0.763,0.763,73.333,15.000,1.000
359520.221,404365.160,435170.213,395440.765,552571.984,564689.435,639208.200,409337.545,-0.188,0.910,-0.250,-0.854,0.763,0.763,73.333,16.000,1.000
270991.804,319029.088,437226.210,408593.305,552814.000,474931.301,574536.572,299854.934,-0.188,0.910,-0.249,-0.610,0.702,0.732,73.333,17.000,1.000
190273.036,235982.207,431313.832,413714.777,549508.132,379894.853,500853.096,208057.302,-0.186,0.915,-0.247,-0.305,0.580,0.610,73.333,18.000,1.000
127440.321,169953.841,423714.776,420049.965,541173.034,290529.550,430815.835,145517.767,-0.186,0.918,-0.247,-0.061,0.549,0.702,73.333,19.000,1.000
90581.493,130496.572,419123.761,430041.486,531579.488,216706.233,369744.718,111940.997,-0.186,0.922,-0.244,0.153,0.549,0.702,73.333,20.000,1.000
78735.231,114049.113,417019.624,432611.654,526054.239,169908.589,318664.169,99323.978,-0.187,0.924,-0.245,0.122,0.519,0.763,73.333,21.000,1.000
80473.225,108504.233,414362.530,420006.921,525300.107,153610.668,279548.876,97576.294,-0.187,0.927,-0.240,0.153,0.427,0.763,73.333,22.000,1.000
82196.744,104218.987,410311.952,401259.972,525020.900,155713.852,254642.733,98220.393,-0.189,0.931,-0.242,0.183,0.427,0.763,73.333,23.000,1.000
77788.390,99026.509,406867.218,392443.952,521533.488,156622.127,241263.374,95845.280,-0.188,0.934,-0.243,0.031,0.397,0.854,73.333,24.000,1.000
69653.728,94068.614,405456.634,397323.485,515827.019,145772.035,231062.254,88559.128,-0.187,0.937,-0.242,-0.122,0.397,0.977,73.333,25.000,1.000
