EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-2.536,1.824,-3.832,-4.854,-2.885,-1.198,-7.217,-10.078,-0.010,0.950,-0.256,-0.061,-0.702,1.038,73.333,311337.000,1.000
-2.239,0.549,-4.103,-4.633,-3.603,-1.705,-7.160,-10.348,-0.010,0.949,-0.258,-0.092,-0.610,1.007,73.333,311338.000,1.000
-1.669,-0.878,-4.082,-3.851,-4.544,-2.441,-7.696,-10.257,-0.010,0.950,-0.257,-0.061,-0.458,0.946,73.333,311339.000,1.000
-0.671,-1.861,-3.893,-2.549,-5.102,-2.726,-7.489,-8.999,-0.008,0.951,-0.259,-0.122,-0.458,0.946,73.333,311340.000,1.000
0.534,-2.236,-3.913,-1.147,-5.083,-2.214,-6.051,-6.495,-0.008,0.950,-0.256,-0.214,-0.275,1.038,73.333,311341.000,1.000
1.364,-2.442,-4.718,-0.500,-5.072,-1.404,-4.459,-4.099,-0.006,0.953,-0.258,-0.244,-0.153,1.007,73.333,311342.000,1.000
1.303,-2.978,-6.468,-1.179,-5.653,-1.072,-4.045,-3.205,-0.006,0.955,-0.258,-0.183,-0.061,1.007,73.333,311343.000,1.000
0.183,-3.976,-8.653,-2.990,-6.759,-1.661,-5.176,-3.877,-0.007,0.954,-0.260,-0.305,0.000,1.038,73.333,311344.000,1.000
-1.738,-5.206,-10.625,-5.138,-7.768,-3.069,-7.108,-4.950,-0.010,0.953,-0.259,-0.305,0.092,1.007,73.333,311345.000,1.000
-3.799,-6.201,-11.699,-6.684,-8.041,-4.708,-8.546,-5.279,-0.010,0.954,-0.259,-0.366,0.061,1.038,73.333,311346.000,1.000
-5.206,-6.401,-11.504,-7.066,-7.383,-5.606,-8.557,-4.776,-0.013,0.956,-0.257,-0.488,0.122,0.946,73.333,311347.000,1.000
-5.442,-5.356,-10.040,-6.166,-5.852,-4.630,-6.527,-3.628,-0.011,0.958,-0.260,-0.580,0.092,0.946,73.333,311348.000,1.000
-4.608,-3.084,-7.665,-4.195,-3.593,-1.394,-2.236,-1.443,-0.014,0.957,-0.260,-0.671,0.092,0.946,73.333,311349.000,1.000
-3.464,-0.371,-5.433,-1.923,-1.346,2.797,3.022,1.562,-0.016,0.957,-0.258,-0.793,0.061,0.916,73.333,311350.000,1.000
-2.917,1.601,-4.505,-0.518,-0.356,5.767,6.882,3.724,-0.016,0.954,-0.256,-0.824,0.031,0.824,73.333,311351.000,1.000
-3.308,2.133,-5.388,-0.721,-1.172,6.469,7.936,3.507,-0.016,0.952,-0.256,-0.854,-0.153,0.763,73.333,311352.000,1.000
-4.207,1.483,-7.431,-2.199,-2.967,5.514,6.743,1.288,-0.016,0.948,-0.257,-0.977,-0.336,0.732,73.333,311353.000,1.000
-4.835,0.516,-9.190,-3.889,-4.338,4.016,4.702,-1.184,-0.015,0.946,-0.259,-0.885,-0.275,0.671,73.333,311354.000,1.000
-4.579,0.124,-9.520,-4.798,-4.296,2.890,2.803,-2.369,-0.014,0.945,-0.261,-0.824,-0.397,0.549,73.333,311355.000,1.000
-3.169,0.906,-7.880,-4.335,-2.449,3.003,1.890,-1.421,-0.014,0.945,-0.260,-0.763,-0.336,0.610,73.333,311356.000,1.000
-0.802,2.875,-4.692,-2.485,0.986,4.821,2.676,1.751,-0.013,0.947,-0.263,-0.671,-0.305,0.671,73.333,311357.000,1.000
1.765,5.209,-1.347,0.001,4.861,7.669,4.828,6.005,-0.013,0.951,-0.260,-0.641,-0.366,0.793,73.333,311358.000,1.000
3.537,6.557,0.547,1.845,7.268,9.840,6.471,8.934,-0.011,0.953,-0.260,-0.488,-0.458,0.885,73.333,311359.000,1.000
3.976,6.030,0.119,2.068,6.742,9.846,5.446,8.297,-0.014,0.951,-0.261,-0.580,-0.549,0.885,73.333,311360.000,1.000
3.374,3.975,-1.951,0.723,3.455,7.594,1.510,3.945,-0.013,0.944,-0.258,-0.610,-0.397,0.977,73.333,311361.000,1.000
2.509,1.684,-4.190,-1.231,-0.896,4.255,-3.545,-1.940,-0.012,0.939,-0.259,-0.519,-0.397,0.977,73.333,311362.000,1.000
2.054,0.397,-5.391,-2.590,-4.243,1.194,-7.525,-6.331,-0.014,0.938,-0.260,-0.305,-0.641,0.916,73.333,311363.000,1.000
2.258,0.588,-5.086,-2.607,-5.246,-0.778,-9.074,-7.207,-0.017,0.940,-0.261,-0.122,-0.732,0.885,73.333,311364.000,1.000
