EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.270,24.735,8.956,3.424,-4.161,-15.167,-10.819,-8.287,0.043,1.008,0.018,-2.258,0.000,2.075,80.000,183433.000,1.000
0.919,25.834,9.086,3.325,-1.700,-8.000,-3.677,-5.157,0.044,1.011,0.016,-2.441,0.000,2.167,80.000,183434.000,1.000
2.377,26.781,9.210,3.494,0.777,-1.531,2.557,-0.946,0.046,1.011,0.017,-2.441,-0.031,2.045,80.000,183435.000,1.000
3.301,26.772,8.363,2.906,1.714,1.617,4.803,2.253,0.042,1.010,0.020,-2.563,0.061,1.984,80.000,183436.000,1.000
2.872,25.756,6.453,1.369,1.053,1.610,3.600,3.907,0.040,1.008,0.019,-2.594,0.031,1.892,80.000,183437.000,1.000
1.252,24.550,4.224,-0.339,0.031,0.560,2.102,5.045,0.042,1.006,0.016,-2.686,0.061,1.709,80.000,183438.000,1.000
-0.857,24.017,2.405,-1.425,-0.398,0.244,2.374,6.332,0.042,1.002,0.016,-2.594,0.122,1.648,80.000,183439.000,1.000
-2.756,24.472,1.174,-1.769,-0.253,1.082,4.198,7.214,0.045,1.001,0.018,-2.563,0.061,1.617,80.000,183440.000,1.000
-3.979,25.773,0.291,-1.688,0.184,2.697,6.776,7.088,0.045,1.005,0.019,-2.441,0.183,1.617,80.000,183441.000,1.000
-4.501,27.385,-0.484,-1.564,0.693,4.532,9.270,5.929,0.046,1.007,0.018,-2.319,0.336,1.556,80.000,183442.000,1.000
-4.815,28.384,-1.533,-1.880,0.743,6.193,9.951,3.497,0.047,1.010,0.016,-2.380,0.427,1.526,80.000,183443.000,1.000
-5.473,27.996,-3.113,-3.008,-0.297,7.315,7.082,-0.460,0.046,1.010,0.015,-2.502,0.458,1.587,80.000,183444.000,1.000
-6.532,26.244,-4.950,-4.760,-2.397,6.933,0.910,-4.963,0.045,1.006,0.015,-2.441,0.488,1.648,80.000,183445.000,1.000
-7.531,23.951,-6.372,-6.386,-4.618,4.025,-6.016,-7.813,0.048,1.003,0.015,-2.502,0.610,1.678,80.000,183446.000,1.000
-8.003,22.072,-6.757,-7.222,-5.920,-1.202,-11.057,-7.554,0.045,1.000,0.015,-2.258,0.671,1.678,80.000,183447.000,1.000
-7.975,21.006,-6.247,-7.338,-6.075,-7.338,-13.498,-5.057,0.044,0.995,0.015,-2.136,0.671,1.709,80.000,183448.000,1.000
-7.841,20.664,-5.426,-7.219,-5.380,-12.337,-13.450,-2.272,0.044,0.994,0.016,-1.862,0.732,1.617,80.000,183449.000,1.000
-7.865,20.824,-4.658,-7.084,-4.045,-14.170,-10.881,-0.312,0.043,0.998,0.015,-1.678,0.916,1.434,80.000,183450.000,1.000
-7.921,21.197,-4.131,-6.871,-2.457,-12.152,-6.873,0.362,0.042,1.001,0.015,-1.434,0.885,1.343,80.000,183451.000,1.000
-7.651,21.352,-3.997,-6.575,-1.449,-7.738,-3.725,-0.776,0.039,1.001,0.017,-1.465,0.702,1.251,80.000,183452.000,1.000
-6.886,20.780,-4.521,-6.395,-1.785,-3.700,-3.043,-3.773,0.040,1.005,0.018,-1.465,0.671,1.160,80.000,183453.000,1.000
-5.859,19.298,-5.762,-6.489,-3.372,-1.981,-3.996,-7.360,0.039,1.005,0.017,-1.404,0.610,1.129,80.000,183454.000,1.000
-4.996,17.381,-7.302,-6.735,-5.150,-2.062,-4.164,-9.455,0.039,1.006,0.015,-1.404,0.610,0.916,80.000,183455.000,1.000
-4.619,15.829,-8.561,-6.898,-6.018,-1.972,-2.651,-8.835,0.038,1.006,0.016,-1.434,0.458,0.824,80.000,183456.000,1.000
-4.833,15.042,-9.192,-6.942,-5.857,-0.840,-1.335,-6.252,0.038,1.006,0.018,-1.343,0.427,0.732,80.000,183457.000,1.000
-5.518,14.742,-9.480,-7.077,-5.446,0.227,-2.548,-3.775,0.038,1.006,0.020,-1.312,0.305,0.671,80.000,183458.000,1.000
-6.373,14.385,-9.911,-7.374,-5.444,-0.127,-6.129,-2.834,0.039,1.006,0.015,-1.373,0.275,0.549,80.000,183459.000,1.000
-7.055,13.790,-10.499,-7.505,-5.602,-1.406,-9.205,-2.973,0.038,1.004,0.018,-1.282,0.092,0.519,80.000,183460.000,1.000
-7.367,13.231,-10.855,-7.077,-5.183,-1.734,-8.893,-2.765,0.038,1.004,0.019,-1.282,0.092,0.488,80.000,183461.000,1.000
-7.413,12.821,-10.718,-6.202,-4.159,-0.464,-5.033,-1.759,0.038,1.004,0.020,-1.160,0.031,0.427,80.000,183462.000,1.000
-7.541,12.135,-10.398,-5.528,-3.455,1.071,-0.281,-0.918,0.039,1.006,0.017,-1.038,-0.122,0.488,80.000,183463.000,1.000
-8.012,10.804,-10.210,-5.496,-3.779,1.388,2.354,-1.030,0.042,1.007,0.019,-1.160,-0.153,0.458,80.000,183464.000,1.000
-8.868,9.019,-10.076,-5.931,-4.861,0.011,1.682,-1.702,0.043,1.006,0.017,-1.038,-0.122,0.488,80.000,183465.000,1.000
-10.106,7.193,-9.938,-6.461,-6.025,-2.804,-1.514,-2.159,0.043,1.006,0.018,-1.068,-0.183,0.549,80.000,183466.000,1.000
-11.698,5.552,-9.884,-6.964,-6.962,-6.435,-5.607,-2.279,0.043,1.007,0.017,-1.038,-0.183,0.671,80.000,183467.000,1.000
-13.346,4.200,-10.054,-7.537,-7.719,-10.083,-9.359,-2.553,0.042,1.007,0.017,-1.068,-0.183,0.732,80.000,183468.000,1.000
-14.371,3.358,-10.234,-8.094,-8.130,-12.771,-11.914,-3.181,0.042,1.006,0.016,-0.977,-0.153,0.763,80.000,183469.000,1.000
-14.006,3.379,-9.779,-8.205,-7.528,-13.196,-12.207,-3.598,0.041,1.008,0.018,-0.916,-0.244,0.946,80.000,183470.000,1.000
-11.918,4.480,-8.151,-7.407,-5.275,-10.251,-9.476,-3.143,0.042,1.006,0.019,-0.977,-0.153,1.068,80.000,183471.000,1.000
-8.658,6.291,-5.399,-5.714,-1.703,-4.531,-4.476,-1.997,0.041,1.005,0.017,-0.946,-0.183,1.038,80.000,183472.000,1.000
-5.467,7.888,-2.404,-3.745,1.840,1.268,0.604,-1.077,0.044,1.004,0.018,-0.854,-0.214,1.099,80.000,183473.000,1.000
-3.333,8.644,-0.146,-2.147,4.133,4.504,4.011,-0.999,0.042,1.001,0.018,-0.702,-0.305,1.099,80.000,183474.000,1.000
-2.355,8.640,0.958,-1.226,4.746,4.643,5.377,-1.970,0.038,1.001,0.018,-0.702,-0.427,1.129,80.000,183475.000,1.000
-2.028,8.185,0.852,-1.092,3.669,2.888,4.663,-4.348,0.038,1.003,0.020,-0.580,-0.458,1.099,80.000,183476.000,1.000
-1.706,7.584,-0.033,-1.499,1.419,1.021,2.135,-7.788,0.038,1.003,0.017,-0.549,-0.580,1.160,80.000,183477.000,1.000
-0.833,7.396,-0.699,-1.623,-0.381,1.154,-0.159,-10.120,0.038,1.000,0.021,-0.519,-0.458,0.977,80.000,183478.000,1.000
0.807,8.245,-0.014,-0.616,0.259,5.022,0.987,-8.671,0.038,0.999,0.021,-0.427,-0.549,0.854,80.000,183479.000,1.000
2.780,9.942,2.195,1.433,3.792,11.974,6.500,-2.965,0.038,1.001,0.018,-0.366,-0.549,0.977,80.000,183480.000,1.000
4.088,11.092,4.624,3.387,8.457,18.385,13.582,4.737,0.038,1.004,0.016,-0.336,-0.519,0.977,80.000,183481.000,1.000
3.791,10.040,5.613,4.000,11.756,20.315,18.424,11.353,0.039,1.003,0.016,-0.305,-0.732,0.824,80.000,183482.000,1.000
1.626,6.190,4.259,2.735,12.140,16.515,18.722,14.585,0.040,1.002,0.015,-0.214,-0.793,0.702,80.000,183483.000,1.000
-1.866,0.310,0.749,-0.108,9.355,8.642,13.714,13.338,0.043,1.003,0.019,-0.122,-0.824,0.732,80.000,183484.000,1.000
-5.761,-6.069,-3.945,-3.721,4.152,-0.342,4.123,7.980,0.044,1.004,0.018,-0.153,-0.854,0.732,80.000,183485.000,1.000
-9.128,-11.205,-8.445,-6.986,-1.621,-7.313,-6.667,0.894,0.043,1.006,0.019,-0.153,-0.763,0.610,80.000,183486.000,1.000
-11.137,-13.624,-11.119,-8.563,-5.224,-9.651,-12.939,-3.789,0.044,1.005,0.015,-0.092,-0.763,0.671,80.000,183487.000,1.000
-11.320,-12.811,-10.893,-7.492,-4.524,-6.371,-10.558,-2.532,0.043,1.007,0.021,-0.092,-0.702,0.702,80.000,183488.000,1.000
-9.954,-9.685,-8.045,-4.037,0.172,0.834,-0.894,4.617,0.042,1.002,0.021,-0.061,-0.793,0.671,80.000,183489.000,1.000
-7.919,-6.159,-4.131,0.221,6.095,8.357,10.052,13.482,0.041,1.003,0.018,-0.153,-0.763,0.671,80.000,183490.000,1.000
-5.885,-3.773,-0.797,3.568,10.299,13.500,16.877,18.952,0.042,1.001,0.018,-0.092,-0.702,0.702,80.000,183491.000,1.000
-3.779,-2.665,1.643,5.458,11.853,16.421,18.553,18.910,0.043,1.003,0.017,-0.092,-0.641,0.671,80.000,183492.000,1.000
-1.296,-2.047,3.756,6.335,11.472,18.585,16.636,14.602,0.044,1.003,0.017,-0.031,-0.549,0.702,80.000,183493.000,1.000
1.400,-1.336,5.746,6.650,9.868,20.057,12.122,8.175,0.044,1.000,0.017,0.061,-0.488,0.763,80.000,183494.000,1.000
3.786,-0.437,7.301,6.586,7.448,19.625,5.798,1.381,0.043,1.000,0.014,0.061,-0.244,0.824,80.000,183495.000,1.000
