EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.231,13.316,8.646,7.733,8.182,9.404,6.929,5.101,-0.069,1.001,0.001,-1.038,-1.495,-0.153,73.333,829785.000,1.000
5.322,14.270,9.373,9.050,11.957,19.761,19.277,11.903,-0.068,1.003,0.004,-1.007,-1.526,-0.153,73.333,829786.000,1.000
3.951,12.920,8.419,8.403,12.500,24.240,24.446,14.758,-0.067,1.003,0.004,-0.977,-1.587,-0.183,73.333,829787.000,1.000
2.229,9.052,5.505,5.687,8.804,19.623,18.864,12.259,-0.068,1.001,0.007,-1.068,-1.617,-0.214,73.333,829788.000,1.000
0.859,4.221,2.099,2.438,2.997,9.016,6.838,6.752,-0.068,1.001,0.008,-1.068,-1.678,-0.214,73.333,829789.000,1.000
0.517,0.446,-0.031,0.545,-1.608,-1.609,-3.678,2.268,-0.068,1.000,0.008,-1.160,-1.770,-0.153,73.333,829790.000,1.000
1.458,-1.089,-0.069,0.929,-2.943,-7.747,-7.168,1.302,-0.068,1.001,0.002,-1.068,-1.831,-0.183,73.333,829791.000,1.000
3.481,-0.324,1.897,3.159,-1.028,-7.855,-2.900,3.432,-0.067,1.000,0.003,-1.007,-1.892,-0.122,73.333,829792.000,1.000
5.981,2.006,5.307,5.892,2.586,-3.027,5.811,6.407,-0.068,1.000,0.005,-0.946,-1.923,-0.122,73.333,829793.000,1.000
8.100,4.766,9.031,7.576,5.768,3.746,13.377,7.874,-0.068,1.000,0.005,-0.916,-1.831,0.000,73.333,829794.000,1.000
9.017,6.804,11.241,7.103,6.783,8.905,14.870,6.413,-0.068,0.999,0.008,-1.038,-1.923,0.000,73.333,829795.000,1.000
8.253,7.270,10.310,4.248,4.943,9.773,8.825,1.961,-0.069,1.000,0.010,-0.946,-1.953,0.000,73.333,829796.000,1.000
5.925,5.925,6.413,-0.134,0.844,5.673,-2.005,-4.059,-0.069,0.999,0.011,-0.854,-1.862,-0.031,73.333,829797.000,1.000
2.910,3.439,2.037,-4.303,-3.657,-1.184,-11.898,-9.110,-0.068,1.000,0.010,-0.854,-1.923,0.122,73.333,829798.000,1.000
0.430,1.144,0.154,-6.515,-6.187,-6.491,-15.240,-10.746,-0.066,1.002,0.008,-0.885,-1.892,0.092,73.333,829799.000,1.000
-0.842,0.102,1.527,-6.205,-5.396,-6.963,-10.300,-8.218,-0.066,1.003,0.009,-0.946,-1.831,0.183,73.333,829800.000,1.000
-1.156,0.409,4.216,-4.294,-1.871,-2.877,-0.293,-2.993,-0.067,1.003,0.010,-0.977,-1.862,0.153,73.333,829801.000,1.000
-1.236,1.375,5.769,-2.328,2.426,2.522,9.240,2.403,-0.066,1.003,0.009,-1.068,-1.892,0.214,73.333,829802.000,1.000
-1.672,2.138,5.320,-1.470,5.449,5.834,14.085,5.853,-0.067,1.001,0.008,-0.946,-1.831,0.275,73.333,829803.000,1.000
-2.670,2.224,3.649,-2.028,6.251,6.099,13.708,6.564,-0.065,1.002,0.002,-0.946,-1.740,0.397,73.333,829804.000,1.000
-4.050,1.780,1.868,-3.484,5.416,5.093,10.827,5.301,-0.066,1.003,0.002,-0.854,-1.617,0.366,73.333,829805.000,1.000
-5.384,1.242,0.406,-4.983,4.185,5.082,8.430,3.528,-0.063,1.000,0.005,-0.854,-1.678,0.366,73.333,829806.000,1.000
-6.152,0.901,-0.773,-5.821,3.337,6.632,7.600,2.340,-0.065,1.001,0.004,-0.916,-1.587,0.397,73.333,829807.000,1.000
-5.973,0.861,-1.476,-5.537,3.091,8.861,8.165,2.439,-0.065,1.001,0.007,-0.763,-1.617,0.519,73.333,829808.000,1.000
-4.867,1.147,-1.313,-4.054,3.422,10.946,9.808,4.137,-0.066,1.001,0.006,-0.763,-1.556,0.549,73.333,829809.000,1.000
-3.252,1.608,-0.420,-1.921,3.938,12.553,11.686,6.776,-0.066,1.003,0.005,-0.854,-1.404,0.488,73.333,829810.000,1.000
-1.652,1.854,0.384,-0.144,3.852,13.289,12.352,8.783,-0.064,1.001,0.006,-0.793,-1.404,0.671,73.333,829811.000,1.000
