EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.624,-0.024,12.211,10.365,18.471,24.704,26.633,20.170,-0.049,0.989,-0.072,-0.763,-1.068,0.183,73.333,857289.000,1.000
1.558,-0.614,12.179,10.140,18.738,24.956,27.943,21.274,-0.051,0.990,-0.071,-0.763,-1.068,0.214,73.333,857290.000,1.000
1.063,-4.065,9.244,7.237,14.432,18.664,20.889,16.423,-0.051,0.990,-0.067,-0.702,-1.129,0.336,73.333,857291.000,1.000
-0.482,-9.381,4.559,2.894,7.230,7.862,8.329,8.057,-0.051,0.991,-0.068,-0.702,-1.038,0.366,73.333,857292.000,1.000
-2.112,-14.599,0.089,-1.017,0.239,-3.392,-3.580,0.699,-0.051,0.990,-0.069,-0.519,-1.129,0.305,73.333,857293.000,1.000
-2.681,-17.638,-2.190,-2.903,-3.499,-10.644,-8.911,-1.756,-0.049,0.993,-0.066,-0.580,-1.007,0.336,73.333,857294.000,1.000
-1.555,-17.418,-1.411,-2.469,-2.880,-11.218,-5.562,1.021,-0.051,0.994,-0.070,-0.610,-1.099,0.336,73.333,857295.000,1.000
0.800,-14.676,1.453,-1.043,0.396,-5.894,3.297,5.273,-0.053,0.994,-0.068,-0.610,-1.129,0.366,73.333,857296.000,1.000
3.205,-11.366,4.436,-0.362,3.302,1.631,11.644,6.629,-0.053,0.994,-0.070,-0.763,-1.129,0.488,73.333,857297.000,1.000
4.688,-9.181,5.978,-1.075,3.823,7.102,14.821,3.852,-0.054,0.996,-0.071,-0.732,-1.221,0.580,73.333,857298.000,1.000
4.826,-8.677,5.565,-2.659,1.826,7.772,11.672,-1.087,-0.052,0.995,-0.069,-0.824,-1.312,0.610,73.333,857299.000,1.000
3.539,-9.430,3.607,-4.222,-1.470,3.545,4.236,-5.200,-0.054,0.995,-0.071,-0.885,-1.343,0.488,73.333,857300.000,1.000
1.016,-10.542,1.026,-4.989,-4.173,-2.581,-3.166,-6.030,-0.052,0.995,-0.070,-0.946,-1.465,0.519,73.333,857301.000,1.000
-2.153,-11.046,-1.122,-4.474,-4.526,-6.004,-5.989,-2.474,-0.052,0.994,-0.069,-0.946,-1.434,0.580,73.333,857302.000,1.000
-5.116,-10.394,-2.219,-2.826,-2.157,-4.106,-3.043,4.264,-0.055,0.994,-0.071,-1.129,-1.526,0.549,73.333,857303.000,1.000
-7.173,-8.878,-2.412,-0.941,1.333,1.371,2.217,10.710,-0.052,0.994,-0.069,-1.190,-1.495,0.610,73.333,857304.000,1.000
-8.043,-7.439,-2.310,0.173,3.515,5.910,4.872,13.207,-0.052,0.994,-0.071,-1.221,-1.526,0.610,73.333,857305.000,1.000
-7.879,-6.881,-2.429,0.187,3.071,6.134,2.722,10.540,-0.051,0.994,-0.072,-1.251,-1.587,0.671,73.333,857306.000,1.000
-7.111,-7.271,-2.753,-0.344,0.693,2.300,-2.415,4.657,-0.052,0.998,-0.068,-1.221,-1.648,0.671,73.333,857307.000,1.000
-6.109,-7.903,-2.775,-0.367,-1.589,-2.358,-6.583,-0.871,-0.051,0.997,-0.071,-1.404,-1.678,0.641,73.333,857308.000,1.000
-4.891,-7.756,-1.809,1.068,-1.860,-4.318,-6.550,-3.071,-0.050,0.996,-0.069,-1.495,-1.648,0.671,73.333,857309.000,1.000
-3.209,-6.087,0.616,4.290,0.604,-2.097,-1.636,-0.920,-0.051,0.997,-0.072,-1.587,-1.709,0.641,73.333,857310.000,1.000
-0.957,-2.794,4.361,8.815,5.256,3.465,6.507,4.659,-0.049,0.996,-0.072,-1.587,-1.678,0.763,73.333,857311.000,1.000
1.551,1.556,8.678,13.566,10.787,10.446,15.255,11.562,-0.047,0.997,-0.069,-1.648,-1.678,0.580,73.333,857312.000,1.000
3.754,5.988,12.499,17.397,15.639,16.903,21.762,17.440,-0.048,0.997,-0.063,-1.770,-1.648,0.641,73.333,857313.000,1.000
5.164,9.496,14.889,19.591,18.451,21.040,23.533,20.670,-0.047,0.996,-0.065,-1.923,-1.495,0.702,73.333,857314.000,1.000
5.431,11.197,15.218,19.821,18.248,20.978,19.289,20.592,-0.047,0.996,-0.069,-2.014,-1.343,0.732,73.333,857315.000,1.000
4.283,10.420,13.079,17.814,14.521,15.222,9.579,17.002,-0.045,0.993,-0.068,-2.045,-1.465,0.671,73.333,857316.000,1.000
1.750,7.173,8.680,13.625,7.783,4.297,-2.786,10.406,-0.048,0.994,-0.069,-2.136,-1.373,0.671,73.333,857317.000,1.000
-1.645,2.443,3.048,8.028,-0.198,-8.487,-13.561,2.457,-0.047,0.991,-0.067,-2.075,-1.312,0.702,73.333,857318.000,1.000
-5.168,-2.401,-2.519,2.121,-7.422,-18.899,-19.495,-4.923,-0.046,0.992,-0.065,-1.984,-1.129,0.641,73.333,857319.000,1.000
-8.192,-6.306,-7.073,-3.175,-12.612,-24.301,-19.951,-10.352,-0.048,0.995,-0.068,-2.045,-1.099,0.641,73.333,857320.000,1.000
-10.264,-8.598,-10.155,-7.099,-15.177,-24.346,-16.491,-12.802,-0.047,0.994,-0.068,-1.953,-1.038,0.610,73.333,857321.000,1.000
-11.242,-9.013,-11.715,-9.210,-15.164,-20.371,-11.711,-11.904,-0.046,0.993,-0.065,-1.953,-0.977,0.610,73.333,857322.000,1.000
-11.450,-7.817,-12.154,-9.735,-13.312,-14.424,-7.973,-8.661,-0.047,0.992,-0.066,-1.953,-0.916,0.641,73.333,857323.000,1.000
-11.369,-5.497,-11.957,-9.355,-10.516,-8.081,-5.939,-4.932,-0.048,0.992,-0.067,-1.892,-0.885,0.702,73.333,857324.000,1.000
-11.138,-2.306,-11.189,-8.535,-7.169,-1.927,-4.358,-1.935,-0.049,0.991,-0.063,-1.831,-0.824,0.671,73.333,857325.000,1.000
-10.446,1.697,-9.529,-7.255,-3.251,3.702,-1.948,0.449,-0.050,0.991,-0.064,-1.831,-0.885,0.793,73.333,857326.000,1.000
-8.854,6.259,-6.656,-5.264,1.092,8.043,1.102,2.993,-0.049,0.991,-0.063,-1.801,-0.885,0.763,73.333,857327.000,1.000
-6.227,10.758,-2.751,-2.511,5.328,10.382,3.844,6.090,-0.049,0.991,-0.066,-1.740,-0.824,0.641,73.333,857328.000,1.000
-2.907,14.385,1.509,0.670,8.880,10.725,5.925,9.421,-0.049,0.993,-0.069,-1.648,-0.702,0.793,73.333,857329.000,1.000
0.488,16.543,5.434,3.819,11.531,9.783,7.829,12.418,-0.049,0.991,-0.066,-1.617,-0.793,0.671,73.333,857330.000,1.000
3.442,17.161,8.673,6.711,13.519,8.688,10.340,14.844,-0.050,0.992,-0.066,-1.434,-0.763,0.702,73.333,857331.000,1.000
5.686,16.612,11.131,9.256,15.067,8.462,13.702,16.509,-0.050,0.992,-0.066,-1.434,-0.702,0.671,73.333,857332.000,1.000
7.033,15.268,12.502,11.036,15.824,9.227,16.937,16.501,-0.049,0.993,-0.067,-1.312,-0.854,0.671,73.333,857333.000,1.000
7.340,13.279,12.322,11.399,15.109,10.221,18.625,13.649,-0.050,0.993,-0.066,-1.251,-0.854,0.610,73.333,857334.000,1.000
6.758,10.780,10.523,10.188,12.737,10.628,18.166,8.012,-0.050,0.993,-0.065,-1.160,-0.793,0.610,73.333,857335.000,1.000
5.912,8.167,7.731,8.158,9.381,9.972,15.672,1.478,-0.049,0.993,-0.061,-1.190,-0.885,0.610,73.333,857336.000,1.000
5.615,6.068,5.056,6.561,6.172,7.987,11.540,-3.314,-0.048,0.994,-0.063,-1.221,-0.824,0.641,73.333,857337.000,1.000
6.282,5.036,3.406,6.306,4.047,4.619,6.511,-4.624,-0.048,0.995,-0.062,-1.221,-0.824,0.732,73.333,857338.000,1.000
7.629,5.273,2.955,7.459,3.379,0.387,1.638,-2.335,-0.050,0.994,-0.062,-1.160,-0.793,0.702,73.333,857339.000,1.000
8.846,6.523,3.108,9.247,3.945,-3.318,-1.921,2.301,-0.049,0.995,-0.064,-1.221,-0.854,0.824,73.333,857340.000,1.000
9.084,8.201,2.916,10.493,5.122,-4.743,-3.106,7.243,-0.051,0.994,-0.067,-1.099,-0.885,0.793,73.333,857341.000,1.000
8.085,9.778,1.930,10.417,6.332,-3.095,-1.339,10.723,-0.049,0.994,-0.066,-1.007,-0.885,0.824,73.333,857342.000,1.000
6.453,11.075,0.592,9.190,7.415,0.701,2.925,12.276,-0.049,0.994,-0.067,-0.916,-0.854,0.763,73.333,857343.000,1.000
5.135,12.140,-0.199,7.659,8.597,4.899,8.443,12.814,-0.050,0.994,-0.064,-0.916,-0.824,0.854,73.333,857344.000,1.000
4.570,12.913,0.091,6.554,10.051,8.299,14.031,13.517,-0.052,0.995,-0.067,-0.916,-0.824,0.793,73.333,857345.000,1.000
4.355,13.101,1.063,5.848,11.321,10.261,18.584,14.307,-0.048,0.995,-0.064,-0.977,-0.885,0.732,73.333,857346.000,1.000
3.721,12.434,1.735,4.780,11.314,10.162,20.733,13.515,-0.049,0.995,-0.066,-0.916,-0.885,0.671,73.333,857347.000,1.000
2.238,11.033,1.295,2.559,9.172,7.867,19.340,9.465,-0.049,0.994,-0.065,-0.916,-0.885,0.702,73.333,857348.000,1.000
0.142,9.479,-0.279,-0.720,5.226,4.312,14.596,2.551,-0.049,0.993,-0.063,-0.916,-0.732,0.702,73.333,857349.000,1.000
-1.953,8.447,-2.221,-3.908,0.978,0.851,8.260,-4.471,-0.050,0.993,-0.065,-0.977,-0.763,0.671,73.333,857350.000,1.000
-3.775,8.133,-3.750,-5.738,-2.003,-1.899,2.414,-8.495,-0.051,0.995,-0.066,-0.885,-0.854,0.763,73.333,857351.000,1.000
-5.721,8.026,-4.631,-5.803,-3.124,-4.217,-1.707,-8.171,-0.052,0.995,-0.064,-0.763,-0.854,0.671,73.333,857352.000,1.000
-8.269,7.530,-5.008,-4.508,-2.701,-6.076,-3.397,-4.347,-0.052,0.993,-0.067,-0.763,-0.885,0.732,73.333,857353.000,1.000
-11.129,6.789,-4.852,-2.462,-1.323,-6.372,-2.198,0.608,-0.052,0.993,-0.066,-0.702,-1.038,0.732,73.333,857354.000,1.000
-13.272,6.523,-3.919,-0.239,0.317,-4.281,0.960,3.934,-0.050,0.994,-0.065,-0.702,-0.977,0.763,73.333,857355.000,1.000
-13.729,7.142,-2.188,1.554,1.395,-0.873,3.533,3.925,-0.051,0.993,-0.066,-0.671,-1.068,0.610,73.333,857356.000,1.000
-12.306,8.242,-0.027,2.355,1.293,1.691,3.557,0.726,-0.050,0.991,-0.063,-0.610,-1.038,0.641,73.333,857357.000,1.000
-9.665,8.979,1.893,1.905,0.059,2.271,1.361,-3.974,-0.052,0.992,-0.065,-0.519,-1.068,0.610,73.333,857358.000,1.000
-6.845,8.796,2.981,0.533,-1.545,1.251,-1.290,-7.763,-0.051,0.992,-0.066,-0.427,-1.099,0.580,73.333,857359.000,1.000
-4.736,7.611,2.952,-1.036,-2.736,-0.831,-3.173,-8.834,-0.051,0.990,-0.067,-0.458,-1.068,0.549,73.333,857360.000,1.000
-3.879,5.550,1.567,-2.391,-3.417,-3.835,-4.395,-7.384,-0.049,0.990,-0.066,-0.366,-1.099,0.580,73.333,857361.000,1.000
-4.381,2.910,-1.229,-3.655,-3.909,-6.988,-5.284,-5.144,-0.050,0.990,-0.067,-0.275,-1.190,0.610,73.333,857362.000,1.000
-5.837,0.248,-4.921,-4.995,-4.181,-8.749,-5.319,-3.227,-0.049,0.989,-0.063,-0.061,-1.190,0.488,73.333,857363.000,1.000
-7.543,-1.854,-8.499,-6.332,-3.847,-8.091,-3.533,-1.295,-0.051,0.991,-0.066,-0.122,-1.099,0.580,73.333,857364.000,1.000
