EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-4.209,-3.322,12.088,-3.009,1.444,-6.537,-12.127,-8.386,0.014,0.986,-0.065,-0.610,-0.641,0.946,73.333,123377.000,1.000
-5.404,-3.916,9.626,-4.321,2.341,-3.851,-7.707,-5.538,0.016,0.987,-0.068,-0.580,-0.732,0.946,73.333,123378.000,1.000
-6.578,-4.783,7.073,-5.725,3.013,-1.361,-3.854,-4.128,0.017,0.986,-0.068,-0.366,-0.885,0.793,73.333,123379.000,1.000
-6.971,-5.232,5.285,-6.643,3.331,0.545,-1.047,-3.859,0.018,0.986,-0.066,-0.275,-0.854,0.793,73.333,123380.000,1.000
-6.143,-4.878,4.613,-6.851,3.134,1.339,0.004,-4.379,0.018,0.986,-0.067,-0.183,-0.916,0.793,73.333,123381.000,1.000
-4.119,-3.877,4.862,-6.491,2.424,0.804,-0.961,-5.214,0.019,0.985,-0.068,-0.153,-0.854,0.824,73.333,123382.000,1.000
-1.346,-2.783,5.522,-5.843,1.419,-0.804,-3.448,-5.674,0.017,0.985,-0.068,-0.092,-0.824,0.763,73.333,123383.000,1.000
1.491,-2.173,6.089,-5.142,0.490,-2.876,-6.637,-5.144,0.019,0.987,-0.066,0.031,-0.885,0.885,73.333,123384.000,1.000
3.795,-2.146,6.428,-4.422,0.165,-4.388,-9.562,-3.377,0.019,0.987,-0.065,0.183,-0.916,0.977,73.333,123385.000,1.000
5.182,-2.373,6.650,-3.615,0.902,-4.198,-11.251,-0.745,0.018,0.988,-0.066,0.214,-0.854,0.977,73.333,123386.000,1.000
5.532,-2.470,6.815,-2.688,2.811,-1.938,-11.212,2.027,0.017,0.989,-0.063,0.244,-0.946,0.977,73.333,123387.000,1.000
4.918,-2.367,6.714,-1.841,5.333,1.260,-9.983,4.301,0.016,0.990,-0.061,0.275,-0.854,1.068,73.333,123388.000,1.000
3.592,-2.403,6.060,-1.430,7.395,3.341,-9.058,5.745,0.016,0.990,-0.063,0.244,-1.068,1.129,73.333,123389.000,1.000
2.023,-2.956,4.931,-1.610,8.107,2.867,-9.625,6.510,0.018,0.990,-0.067,0.305,-1.038,1.099,73.333,123390.000,1.000
