EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
2.843,7.461,5.786,9.778,8.556,9.029,4.924,3.455,0.017,0.982,-0.065,0.824,-1.160,0.519,66.667,500689.000,1.000
3.692,7.818,6.729,11.698,10.338,8.705,9.949,7.971,0.017,0.982,-0.065,1.007,-1.129,0.458,66.667,500690.000,1.000
4.596,7.336,7.010,12.649,10.488,7.021,12.129,9.942,0.016,0.984,-0.064,1.099,-1.068,0.549,66.667,500691.000,1.000
5.453,6.244,6.715,12.719,9.322,4.471,11.798,9.820,0.017,0.982,-0.066,1.190,-1.038,0.671,66.667,500692.000,1.000
6.235,5.033,6.034,12.200,7.552,1.857,9.936,8.563,0.016,0.983,-0.065,1.251,-1.038,0.671,66.667,500693.000,1.000
6.890,4.128,5.101,11.310,5.760,-0.137,7.469,6.747,0.014,0.984,-0.065,1.251,-0.946,0.732,66.667,500694.000,1.000
7.375,3.710,4.047,10.165,4.188,-1.114,4.929,4.667,0.012,0.983,-0.066,1.282,-0.977,0.854,66.667,500695.000,1.000
7.781,3.853,3.164,8.977,3.037,-0.820,2.825,3.063,0.014,0.985,-0.065,1.343,-0.977,0.916,66.667,500696.000,1.000
8.280,4.605,2.795,8.027,2.621,0.808,1.747,2.892,0.014,0.985,-0.071,1.373,-1.007,0.977,66.667,500697.000,1.000
8.921,5.836,3.001,7.374,3.030,3.343,1.839,4.142,0.014,0.986,-0.071,1.312,-1.160,1.007,66.667,500698.000,1.000
9.492,7.111,3.409,6.705,3.806,5.864,2.451,5.493,0.014,0.988,-0.070,1.251,-1.221,1.129,66.667,500699.000,1.000
9.565,7.829,3.394,5.549,4.167,7.439,2.729,5.566,0.014,0.990,-0.071,1.129,-1.068,1.160,66.667,500700.000,1.000
8.744,7.575,2.497,3.657,3.640,7.715,2.629,4.092,0.014,0.991,-0.070,1.099,-1.038,1.251,66.667,500701.000,1.000
6.965,6.354,0.720,1.132,2.277,6.944,2.692,1.501,0.014,0.991,-0.069,1.007,-1.160,1.434,66.667,500702.000,1.000
4.545,4.472,-1.545,-1.678,0.349,5.514,2.548,-1.909,0.016,0.992,-0.073,0.885,-1.129,1.465,66.667,500703.000,1.000
2.002,2.393,-3.723,-4.223,-1.715,3.842,1.142,-5.537,0.019,0.994,-0.071,0.793,-1.007,1.526,66.667,500704.000,1.000
-0.207,0.649,-5.244,-5.835,-3.195,2.522,-1.195,-7.808,0.017,0.993,-0.071,0.732,-1.038,1.617,66.667,500705.000,1.000
-1.902,-0.425,-5.852,-6.161,-3.522,1.983,-2.807,-7.226,0.016,0.995,-0.071,0.488,-0.885,1.617,66.667,500706.000,1.000
-3.180,-0.875,-5.733,-5.497,-2.855,2.146,-2.894,-4.156,0.017,0.995,-0.071,0.305,-1.007,1.709,66.667,500707.000,1.000
-4.153,-0.911,-5.234,-4.437,-1.816,2.710,-2.032,-0.582,0.018,0.996,-0.070,0.153,-0.885,1.801,66.667,500708.000,1.000
-4.824,-0.704,-4.591,-3.343,-0.842,3.511,-0.985,1.775,0.018,0.992,-0.069,0.031,-0.916,1.801,66.667,500709.000,1.000
-5.202,-0.437,-3.931,-2.335,-0.057,4.432,-0.224,2.299,0.018,0.993,-0.068,-0.092,-0.946,1.831,66.667,500710.000,1.000
-5.379,-0.266,-3.255,-1.474,0.571,5.267,0.065,1.204,0.019,0.994,-0.068,-0.092,-0.854,1.709,66.667,500711.000,1.000
-5.450,-0.176,-2.405,-0.727,1.163,5.781,0.167,-0.675,0.018,0.994,-0.070,-0.183,-0.763,1.709,66.667,500712.000,1.000
-5.415,-0.011,-1.236,0.057,1.799,5.802,0.390,-2.288,0.017,0.991,-0.068,-0.275,-0.610,1.556,66.667,500713.000,1.000
-5.115,0.398,0.254,1.064,2.478,5.297,0.510,-2.891,0.019,0.990,-0.066,-0.366,-0.702,1.495,66.667,500714.000,1.000
-4.242,1.139,2.039,2.448,3.269,4.383,0.250,-2.075,0.019,0.985,-0.067,-0.488,-0.610,1.434,66.667,500715.000,1.000
-2.463,2.191,4.182,4.308,4.350,3.320,-0.025,0.233,0.021,0.983,-0.069,-0.397,-0.549,1.495,66.667,500716.000,1.000
0.314,3.419,6.726,6.619,5.809,2.440,0.570,3.520,0.024,0.981,-0.071,-0.366,-0.488,1.373,66.667,500717.000,1.000
3.652,4.441,9.354,9.049,7.312,1.735,2.374,6.537,0.026,0.979,-0.072,-0.153,-0.336,1.373,66.667,500718.000,1.000
6.655,4.671,11.332,10.893,8.006,0.584,4.084,7.490,0.025,0.982,-0.072,0.092,-0.244,1.312,66.667,500719.000,1.000
