EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
9.873,1.816,6.991,7.822,8.306,13.428,10.500,12.002,-0.058,0.900,-0.382,-0.397,-1.587,1.038,80.000,132961.000,1.000
9.409,1.076,5.867,8.215,8.205,12.517,10.311,12.640,-0.057,0.894,-0.384,-0.519,-1.617,0.946,80.000,132962.000,1.000
8.798,0.908,5.163,8.331,8.116,11.177,9.220,11.689,-0.053,0.892,-0.387,-0.580,-1.648,1.038,80.000,132963.000,1.000
8.751,2.016,5.458,8.961,9.291,11.143,9.106,11.404,-0.052,0.891,-0.387,-0.641,-1.495,0.977,80.000,132964.000,1.000
9.741,4.611,7.158,10.852,12.755,13.608,11.857,14.265,-0.047,0.891,-0.386,-0.580,-1.312,0.916,80.000,132965.000,1.000
11.416,7.816,9.697,13.680,17.805,17.739,16.852,19.976,-0.048,0.896,-0.388,-0.336,-1.312,1.007,80.000,132966.000,1.000
12.678,9.841,11.591,15.827,21.756,20.397,20.395,24.637,-0.046,0.898,-0.390,-0.427,-1.190,1.007,80.000,132967.000,1.000
12.577,9.302,11.642,15.754,22.096,18.693,19.134,24.263,-0.048,0.899,-0.391,-0.519,-1.038,1.007,80.000,132968.000,1.000
11.130,6.391,9.904,13.479,18.745,12.798,13.462,18.637,-0.049,0.899,-0.391,-0.610,-0.977,0.885,80.000,132969.000,1.000
9.357,2.833,7.818,10.632,14.114,6.077,7.388,11.436,-0.048,0.896,-0.387,-0.641,-0.763,0.977,80.000,132970.000,1.000
8.600,0.880,7.133,9.212,11.302,2.692,5.358,7.170,-0.048,0.892,-0.391,-0.549,-0.824,0.977,80.000,132971.000,1.000
9.526,1.843,8.642,10.075,11.747,4.280,8.560,7.668,-0.052,0.890,-0.392,-0.458,-0.763,0.885,80.000,132972.000,1.000
11.589,5.104,11.501,12.205,14.085,8.478,13.689,10.717,-0.054,0.892,-0.389,-0.427,-0.610,0.854,80.000,132973.000,1.000
13.645,8.794,13.927,13.679,15.623,11.341,16.009,12.451,-0.061,0.893,-0.389,-0.305,-0.610,0.671,80.000,132974.000,1.000
14.989,11.410,14.875,13.374,14.883,11.141,13.919,11.103,-0.061,0.891,-0.389,-0.336,-0.793,0.488,80.000,132975.000,1.000
15.649,12.509,14.378,11.502,12.428,9.294,9.791,7.932,-0.061,0.891,-0.386,-0.305,-0.916,0.397,80.000,132976.000,1.000
16.044,12.318,13.059,9.071,9.815,8.283,7.100,5.446,-0.061,0.892,-0.386,-0.305,-0.977,0.183,80.000,132977.000,1.000
