EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
3.633,5.497,8.490,9.061,5.310,-2.438,-4.500,1.661,-0.043,0.976,-0.156,-1.343,-1.038,0.885,73.333,680433.000,1.000
4.752,3.991,8.894,8.658,3.687,-5.732,-9.704,-0.789,-0.042,0.976,-0.154,-1.221,-1.129,0.946,73.333,680434.000,1.000
5.500,2.607,9.084,7.871,2.319,-8.161,-13.505,-2.119,-0.041,0.976,-0.155,-1.251,-1.282,1.007,73.333,680435.000,1.000
5.076,1.074,8.568,6.407,1.068,-8.824,-14.407,-2.435,-0.040,0.977,-0.155,-1.099,-1.282,0.977,73.333,680436.000,1.000
3.145,-0.750,7.063,4.296,-0.112,-7.616,-11.846,-1.997,-0.039,0.977,-0.153,-1.190,-1.282,1.038,73.333,680437.000,1.000
0.079,-2.701,4.905,2.009,-1.147,-5.562,-6.630,-0.842,-0.038,0.977,-0.153,-1.068,-1.312,0.946,73.333,680438.000,1.000
-3.289,-4.274,2.682,0.044,-1.945,-3.725,-0.349,0.812,-0.040,0.976,-0.155,-0.916,-1.251,0.977,73.333,680439.000,1.000
-6.144,-4.856,0.745,-1.410,-2.472,-2.350,5.157,2.300,-0.039,0.978,-0.155,-1.038,-1.343,0.916,73.333,680440.000,1.000
-8.055,-4.232,-1.073,-2.543,-2.838,-1.410,7.944,2.874,-0.039,0.977,-0.154,-1.007,-1.343,0.916,73.333,680441.000,1.000
-9.080,-2.932,-3.121,-3.807,-3.413,-1.366,6.678,2.041,-0.038,0.976,-0.159,-1.099,-1.343,0.824,73.333,680442.000,1.000
-9.559,-1.951,-5.288,-5.555,-4.669,-2.838,1.676,-0.320,-0.038,0.976,-0.158,-0.946,-1.465,0.854,73.333,680443.000,1.000
-9.765,-1.966,-6.936,-7.592,-6.606,-5.618,-4.958,-3.729,-0.038,0.974,-0.157,-1.007,-1.312,0.854,73.333,680444.000,1.000
-9.753,-2.827,-7.434,-9.138,-8.436,-8.413,-10.322,-6.938,-0.038,0.977,-0.154,-0.885,-1.160,0.732,73.333,680445.000,1.000
-9.519,-3.783,-6.833,-9.346,-8.973,-9.452,-11.946,-8.253,-0.037,0.976,-0.155,-0.854,-1.160,0.671,73.333,680446.000,1.000
-9.244,-4.086,-5.699,-7.869,-7.334,-7.318,-8.514,-6.277,-0.037,0.978,-0.154,-0.793,-1.129,0.641,73.333,680447.000,1.000
-9.295,-3.461,-4.421,-5.002,-3.523,-1.848,-0.604,-0.718,-0.035,0.979,-0.158,-0.732,-1.099,0.580,73.333,680448.000,1.000
-9.896,-2.112,-3.033,-1.455,1.488,5.400,8.951,7.148,-0.036,0.981,-0.159,-0.824,-0.977,0.641,73.333,680449.000,1.000
-10.848,-0.494,-1.499,1.885,6.127,11.622,16.189,14.558,-0.035,0.980,-0.157,-0.885,-0.946,0.549,73.333,680450.000,1.000
-11.592,0.891,-0.138,4.095,8.826,14.142,17.936,18.248,-0.035,0.980,-0.156,-0.854,-0.854,0.610,73.333,680451.000,1.000
-11.520,1.767,0.635,4.644,8.914,12.319,13.865,16.548,-0.034,0.978,-0.152,-0.854,-0.732,0.580,73.333,680452.000,1.000
-10.231,2.352,0.969,3.873,7.286,8.573,7.529,10.878,-0.036,0.979,-0.153,-0.793,-0.763,0.549,73.333,680453.000,1.000
-7.748,3.187,1.546,2.877,5.890,6.769,4.398,4.864,-0.037,0.979,-0.155,-0.885,-0.763,0.519,73.333,680454.000,1.000
-4.677,4.386,2.844,2.641,6.010,8.533,7.166,1.756,-0.035,0.978,-0.158,-0.885,-0.549,0.458,73.333,680455.000,1.000
-2.086,5.207,4.309,3.182,7.033,11.535,12.925,2.281,-0.036,0.978,-0.155,-0.854,-0.458,0.458,73.333,680456.000,1.000
-0.876,4.717,4.765,3.677,7.250,12.199,16.230,4.834,-0.036,0.979,-0.155,-0.885,-0.458,0.488,73.333,680457.000,1.000
-1.231,2.663,3.566,3.283,5.521,9.016,13.954,7.159,-0.037,0.978,-0.153,-0.854,-0.458,0.580,73.333,680458.000,1.000
-2.659,-0.446,1.021,1.727,1.953,2.886,6.741,7.590,-0.036,0.979,-0.154,-0.854,-0.427,0.610,73.333,680459.000,1.000
-4.281,-3.591,-1.755,-0.481,-2.174,-3.758,-1.756,5.701,-0.038,0.979,-0.152,-0.793,-0.549,0.641,73.333,680460.000,1.000
-5.193,-5.531,-3.533,-2.297,-4.879,-7.624,-6.740,2.470,-0.040,0.978,-0.156,-0.732,-0.458,0.610,73.333,680461.000,1.000
-4.898,-5.452,-3.720,-2.916,-4.675,-6.366,-5.526,-0.418,-0.040,0.978,-0.155,-0.854,-0.488,0.488,73.333,680462.000,1.000
-3.586,-3.689,-2.667,-2.432,-1.837,-0.989,-0.029,-1.705,-0.041,0.979,-0.155,-0.854,-0.549,0.580,73.333,680463.000,1.000
-1.991,-1.670,-1.506,-1.815,1.558,4.182,4.346,-1.274,-0.040,0.979,-0.157,-0.824,-0.519,0.610,73.333,680464.000,1.000
-0.974,-0.891,-1.327,-2.245,3.140,4.945,3.152,0.008,-0.040,0.979,-0.156,-0.793,-0.488,0.671,73.333,680465.000,1.000
-1.088,-1.811,-2.476,-4.247,2.033,0.840,-3.319,1.126,-0.042,0.977,-0.156,-0.793,-0.641,0.580,73.333,680466.000,1.000
-2.327,-3.593,-4.402,-7.215,-0.612,-4.582,-10.160,1.787,-0.040,0.977,-0.155,-0.671,-0.732,0.580,73.333,680467.000,1.000
-4.150,-4.811,-6.054,-9.718,-2.639,-6.734,-11.728,2.539,-0.041,0.977,-0.155,-0.793,-0.763,0.671,73.333,680468.000,1.000
-5.773,-4.470,-6.538,-10.393,-2.471,-3.426,-6.120,4.142,-0.042,0.977,-0.156,-0.641,-0.854,0.641,73.333,680469.000,1.000
-6.542,-2.550,-5.405,-8.683,-0.058,3.741,3.630,6.786,-0.042,0.978,-0.154,-0.610,-0.885,0.641,73.333,680470.000,1.000
